i timesec 	power_total 	dopp_firstmoment 	second_moment 		exp_dopp
1	10230.0	0.09855065223905402	0.8241224404103018	0.7383964484080883	-6114552001.175878
1	10230.25	0.09286860555074959	0.7988858331015185	0.7113504359209564	-6114552001.201115
1	10230.5	0.09029792176116976	0.8192624806705511	0.7355938765374657	-6114552001.1807375
1	10230.75	0.0839899124208354	0.7896329163232372	0.697722419045913	-6114552001.210367
2	10231.0	0.09302614799536484	0.8337288606294676	0.7505949214115416	-6114552001.166271
2	10231.25	0.0854327508317985	0.7875429363463419	0.7105316087602979	-6114552001.212458
2	10231.5	0.08232298964531853	0.8182317468200146	0.7325018276544571	-6114552001.181768
2	10231.75	0.08470171085288251	0.8346559210431226	0.7443747726477958	-6114552001.165344
3	10232.0	0.0884448564648072	0.8119636010568712	0.7266185038368964	-6114552001.188036
3	10232.25	0.08037621789959737	0.791941109200943	0.7021683878887561	-6114552001.208059
3	10232.5	0.07887984650519501	0.8084256027871213	0.720782307613697	-6114552001.191574
3	10232.75	0.08299616834891278	0.8028607974800056	0.7159068549317706	-6114552001.19714
4	10233.0	0.07934193628489322	0.8021790416601516	0.7171557030289972	-6114552001.197821
4	10233.25	0.0843926780762018	0.8035569132104108	0.7204862908470414	-6114552001.196444
4	10233.5	0.07852879992410804	0.8043488991622569	0.7122252887278635	-6114552001.195651
4	10233.75	0.07897879459155055	0.797319632523579	0.7076199275431063	-6114552001.202681
5	10234.0	0.08095090215051878	0.8302775792050078	0.7460949884081762	-6114552001.169723
5	10234.25	0.0811105226031692	0.827366484073335	0.7371428320012509	-6114552001.172634
5	10234.5	0.08618926348461937	0.8275767993170746	0.7439839229915547	-6114552001.172423
5	10234.75	0.0862489181362949	0.8219920987844128	0.730706703239673	-6114552001.178008
6	10235.0	0.08404978223148646	0.8359059451792776	0.7425743358785941	-6114552001.164094
6	10235.25	0.0814433344432385	0.8100976888949547	0.7156353727822248	-6114552001.189902
6	10235.5	0.08732905248901937	0.8646022611501311	0.7724064451487086	-6114552001.135398
6	10235.75	0.0812845457633412	0.8275468566517981	0.7376937032845037	-6114552001.172453
7	10236.0	0.08385899362492207	0.8138213343899203	0.7291043274116586	-6114552001.186178
7	10236.25	0.06390567869034525	0.9782869420633398	2.08999765175402	-6114552001.021713
7	10236.5	0.07531554015397406	0.8505938877830417	0.7601760912332022	-6114552001.149406
7	10236.75	0.0750073676532148	0.8234134987324488	0.7337265014591421	-6114552001.176586
8	10237.0	0.0835822679552165	0.8470906267766677	0.7505345915887384	-6114552001.152909
8	10237.25	0.07998423078605671	0.8497332127933278	0.7591493996832573	-6114552001.150267
8	10237.5	0.07790187236108566	0.8200572741160919	0.7365024390513674	-6114552001.179943
8	10237.75	0.075817253766258	0.7798475328883311	0.6942946393543588	-6114552001.220152
9	10238.0	0.07458033309879258	0.803966871321107	0.7125493668834086	-6114552001.1960335
9	10238.25	0.0761725984076493	0.7964016363352001	0.707483936235499	-6114552001.203598
9	10238.5	0.07698916818651454	0.8306966399840116	0.7454731667349194	-6114552001.169304
9	10238.75	0.08259866459359566	0.8038171575948395	0.7129316832847503	-6114552001.196182
10	10239.0	0.07633666979673383	0.8043657180682028	0.7227108483916874	-6114552001.195635
10	10239.25	0.07777906638451194	0.7987042581741461	0.7080800396520899	-6114552001.201296
10	10239.5	0.07733815052898034	0.8302235286617182	0.7407327922912282	-6114552001.169777
10	10239.75	0.07829136756096353	0.8258723651679494	0.737749446204329	-6114552001.174128
11	10240.0	0.08084057383707273	0.8403586982543249	0.758339262343345	-6114552001.159641
11	10240.25	0.07500995207420443	0.8512533239821836	0.7621474324223002	-6114552001.1487465
11	10240.5	0.07522993694038366	0.7923636415481347	0.7091239707260043	-6114552001.207636
11	10240.75	0.07760194177632532	0.7962109323978233	0.7102502408577409	-6114552001.203789
12	10241.0	0.07845938728328429	0.838959273762782	0.7493986380517833	-6114552001.161041
12	10241.25	0.07659835695594044	0.7528006570649239	0.6728467673942939	-6114552001.2472
12	10241.5	0.0818857590206736	0.8253356663947251	0.7301581043787588	-6114552001.1746645
12	10241.75	0.08169643901271859	0.8261590566023453	0.730824028087877	-6114552001.173841
13	10242.0	0.08221040049663357	0.8309635662355108	0.7382522269910861	-6114552001.169037
13	10242.25	0.08084137660468221	0.8345103563427538	0.7514390720919861	-6114552001.165489
13	10242.5	0.07592107985253063	0.8133347525048402	0.7227413351985881	-6114552001.186665
13	10242.75	0.08021982674640042	0.8130216489560513	0.7273593166144201	-6114552001.186978
14	10243.0	0.08146613196906956	0.8375141699111328	0.7464317112906442	-6114552001.162485
14	10243.25	0.08210332075592443	0.8163560474532697	0.7315162654359192	-6114552001.183643
14	10243.5	0.08171107186279304	0.8297443526918573	0.7378664699897087	-6114552001.170256
14	10243.75	0.08406958148656815	0.8087793760702255	0.7209596048374086	-6114552001.191221
15	10244.0	0.08350591675006316	0.8021285538394837	0.7195603982499104	-6114552001.197871
15	10244.25	0.0759344216930667	0.819747394980461	0.7234719277242856	-6114552001.180252
15	10244.5	0.08468181832519142	0.8296530302933653	0.7369059779276407	-6114552001.170347
15	10244.75	0.08568036056506945	0.8439003741143333	0.7596057436781087	-6114552001.156099
16	10245.0	0.0835429548704201	0.8415949200458243	0.7461794524858529	-6114552001.158405
16	10245.25	0.08345376757405895	0.8530883203815826	0.7613543363618741	-6114552001.146912
16	10245.5	0.08242970926846528	0.8231061411466658	0.7338925589445843	-6114552001.176893
16	10245.75	0.07527723931284715	0.8113380181212113	0.7196741918883426	-6114552001.188662
17	10246.0	0.08165792271340998	0.8082929368731855	0.7240174368367014	-6114552001.191708
17	10246.25	0.0802628071463863	0.8026822399714661	0.7139022032825842	-6114552001.197317
17	10246.5	0.10092914481447936	0.8095421400002906	0.7225787377037218	-6114552001.190458
17	10246.75	0.10037362732693278	0.7984894751307097	0.7137117471564964	-6114552001.20151
18	10247.0	0.10341012260486009	0.8073921066587932	0.720624800750655	-6114552001.192608
18	10247.25	0.10269895600577428	0.8276007626946726	0.737113880909894	-6114552001.1723995
18	10247.5	0.10813733824651867	0.8376919945893659	0.746309049446835	-6114552001.162308
18	10247.75	0.1073706514565432	0.8389500362573518	0.7501879061400231	-6114552001.16105
19	10248.0	0.10019206976810988	0.7877039154389798	0.7016060566531873	-6114552001.212296
19	10248.25	0.101992052502885	0.8410193853398781	0.752900565983379	-6114552001.158981
19	10248.5	0.10476529767725938	0.8298559772688137	0.7398710926338601	-6114552001.170144
19	10248.75	0.09637029563204053	0.8089824224514339	0.7216565103428292	-6114552001.191017
20	10249.0	0.10032850712241213	0.8010346155752275	0.7075979274642864	-6114552001.198965
20	10249.25	0.10350267571913506	0.82248740279701	0.7284730379509775	-6114552001.177513
20	10249.5	0.1017726926587681	0.8010753063638889	0.7142521018845478	-6114552001.198925
20	10249.75	0.10337806626995967	0.8215928994199901	0.7315563049687709	-6114552001.178408
21	10250.0	0.09556962600033736	0.8073161408970037	0.7177100452622187	-6114552001.192684
21	10250.25	0.09107220891721282	0.7978491586145595	0.713692634610091	-6114552001.20215
21	10250.5	0.09282878618854516	0.7763240915121369	0.6834814595507708	-6114552001.223676
21	10250.75	0.08953744249869289	0.8287688806867701	0.7471456415796214	-6114552001.171231
22	10251.0	0.09580455895316296	0.8403537393997793	0.7532515286850101	-6114552001.159646
22	10251.25	0.09323983339871074	0.8178155939934006	0.7271276731700733	-6114552001.182184
22	10251.5	0.10337391827778139	0.7697802659671734	0.6878709900487383	-6114552001.23022
