YEAR	DOY	1
2020	250	1
2020	277	14
2020	304	25
2020	331	30
2020	358	13
2021	19	9
2021	46	16
2021	73	13
2021	100	26
2021	127	26
2021	154	24
2021	181	40
2021	208	12
2021	235	48
2021	262	38
2021	289	45
2021	316	30
2021	343	74
2022	5	60
2022	32	61
2022	59	70
2022	86	82
2022	113	101
2022	140	76
2022	167	84
2022	194	84
2022	221	80
2022	248	101
2022	275	97
2022	302	83
2022	329	54
