YYYY DOY HR MN V
2021 276 0 0 410.0
2021 276 0 5 411.2
2021 276 0 10 411.4
2021 276 0 15 411.6
2021 276 0 20 410.4
2021 276 0 25 414.2
2021 276 0 30 413.9
2021 276 0 35 415.4
2021 276 0 40 415.9
2021 276 0 45 414.7
2021 276 0 50 412.2
2021 276 0 55 413.8
2021 276 1 0 417.8
2021 276 1 5 414.4
2021 276 1 10 418.4
2021 276 1 15 419.4
2021 276 1 20 411.8
2021 276 1 25 414.8
2021 276 1 30 412.6
2021 276 1 35 416.1
2021 276 1 40 415.4
2021 276 1 45 414.1
2021 276 1 50 412.8
2021 276 1 55 420.1
2021 276 2 0 410.3
2021 276 2 5 411.8
2021 276 2 10 415.8
2021 276 2 15 420.2
2021 276 2 20 418.1
2021 276 2 25 413.7
2021 276 2 30 413.6
2021 276 2 35 412.8
2021 276 2 40 419.6
2021 276 2 45 417.8
2021 276 2 50 418.9
2021 276 2 55 415.9
2021 276 3 0 418.2
2021 276 3 5 418.9
2021 276 3 10 415.4
2021 276 3 15 414.3
2021 276 3 20 414.1
2021 276 3 25 408.2
2021 276 3 30 411.9
2021 276 3 35 410.6
2021 276 3 40 410.2
2021 276 3 45 409.8
2021 276 3 50 413.0
2021 276 3 55 415.3
2021 276 4 0 414.8
2021 276 4 5 414.8
2021 276 4 10 413.1
2021 276 4 15 414.6
2021 276 4 20 413.8
2021 276 4 25 414.3
2021 276 4 30 415.1
2021 276 4 35 417.4
2021 276 4 40 415.4
2021 276 4 45 413.5
2021 276 4 50 412.3
2021 276 4 55 410.8
2021 276 5 0 414.9
2021 276 5 5 419.7
2021 276 5 10 412.9
2021 276 5 15 411.1
2021 276 5 20 410.3
2021 276 5 25 410.6
2021 276 5 30 410.1
2021 276 5 35 409.9
2021 276 5 40 403.9
2021 276 5 45 402.5
2021 276 5 50 402.0
2021 276 5 55 402.0
2021 276 6 0 403.4
2021 276 6 5 401.0
2021 276 6 10 400.6
2021 276 6 15 399.9
2021 276 6 20 400.8
2021 276 6 25 400.4
2021 276 6 30 399.8
2021 276 6 35 399.3
2021 276 6 40 402.5
2021 276 6 45 400.5
2021 276 6 50 401.6
2021 276 6 55 406.6
2021 276 7 0 404.1
2021 276 7 5 401.2
2021 276 7 10 405.6
2021 276 7 15 408.1
2021 276 7 20 408.0
2021 276 7 25 408.6
2021 276 7 30 403.9
2021 276 7 35 405.6
2021 276 7 40 400.4
2021 276 7 45 399.6
2021 276 7 50 400.3
2021 276 7 55 400.8
2021 276 8 0 401.3
2021 276 8 5 401.0
2021 276 8 10 398.8
2021 276 8 15 398.9
2021 276 8 20 399.8
2021 276 8 25 400.5
2021 276 8 30 401.3
2021 276 8 35 403.3
