YYYY DOY HR MN V
2021 286 20 25 403.1
2021 286 20 30 400.1
2021 286 20 35 399.5
2021 286 20 40 399.4
2021 286 20 45 400.9
2021 286 20 50 400.9
2021 286 20 55 397.5
2021 286 21 0 398.4
2021 286 21 5 398.8
2021 286 21 10 394.5
2021 286 21 15 397.1
2021 286 21 20 397.1
2021 286 21 25 398.1
2021 286 21 30 400.8
2021 286 21 35 401.5
2021 286 21 40 400.4
2021 286 21 45 399.3
2021 286 21 50 400.3
2021 286 21 55 398.8
2021 286 22 0 398.0
2021 286 22 5 398.9
2021 286 22 10 398.8
2021 286 22 15 399.0
2021 286 22 20 398.4
2021 286 22 25 398.3
2021 286 22 30 397.5
2021 286 22 35 395.5
2021 286 22 40 393.3
2021 286 22 45 390.9
2021 286 22 50 389.5
2021 286 22 55 388.4
2021 286 23 0 388.8
2021 286 23 5 389.0
2021 286 23 10 385.3
2021 286 23 15 382.7
2021 286 23 20 386.1
2021 286 23 25 384.1
2021 286 23 30 384.1
2021 286 23 35 385.4
2021 286 23 40 386.2
2021 286 23 45 384.3
2021 286 23 50 384.4
2021 286 23 55 383.6
