date,distance_AU,distance_solar_radii,velocity_earth,velocity_mars
2,0.08791721831906438,8.1,29651.79599719102,23318.112884323815
3,0.07195173204710387,6.92,29775.998738098675,23318.52431108899
4,0.05670457673498661,5.77,29780.016900726972,23319.953318217154
12,0.06446705205127631,5.24,29814.461139789455,23368.39608359376
13,0.07946044557920255,6.33,29818.808700934642,23379.3585235323
14,0.09559715733967694,7.49,29823.726276224483,23392.83878405624
