ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
687365720.4323573	10451.25000	-2865.963340	17445.59980	20311.56314
687365720.6823573	10451.50000	-2864.186849	17447.33980	20311.52665
687365720.9323573	10451.75000	-2864.218758	17447.27140	20311.49016
687365721.1823573	10452.00000	-2864.309665	17447.14400	20311.45366
687365721.4323573	10452.25000	-2862.835571	17448.58160	20311.41717
687365721.6823573	10452.50000	-2870.470376	17440.91030	20311.38068
687365721.9323573	10452.75000	-2862.714481	17448.62970	20311.34418
687365722.1823573	10453.00000	-2862.381485	17448.92620	20311.30768
687365722.4323573	10453.25000	-2861.301087	17449.97010	20311.27119
687365722.6823573	10453.50000	-2863.213888	17448.02080	20311.23469
687365722.9323573	10453.75000	-2863.739689	17447.45850	20311.19819
687365723.1823573	10454.00000	-2864.488290	17446.67340	20311.16169
687365723.4323573	10454.25000	-2863.389289	17447.73590	20311.12519
687365723.6823573	10454.50000	-2859.806986	17451.28170	20311.08869
687365723.9323573	10454.75000	-2863.504683	17447.54750	20311.05218
687365724.1823573	10455.00000	-2864.596179	17446.41950	20311.01568
687365724.4323573	10455.25000	-2861.584975	17449.39420	20310.97918
687365724.6823573	10455.50000	-2862.814368	17448.12830	20310.94267
687365724.9323573	10455.75000	-2860.152962	17450.75320	20310.90616
687365725.1823573	10456.00000	-2861.069754	17449.79990	20310.86965
687365725.4323573	10456.25000	-2861.814446	17449.01870	20310.83315
687365725.6823573	10456.50000	-2862.084336	17448.71230	20310.79664
687365725.9323573	10456.75000	-2861.165226	17449.59490	20310.76013
687365726.1823573	10457.00000	-2864.480115	17446.24350	20310.72361
687365726.4323573	10457.25000	-2861.732803	17448.95430	20310.68710
687365726.6823573	10457.50000	-2861.259289	17449.39130	20310.65059
687365726.9323573	10457.75000	-2860.270575	17450.34350	20310.61408
687365727.1823573	10458.00000	-2859.153361	17451.42420	20310.57756
687365727.4323573	10458.25000	-2860.970946	17449.57010	20310.54105
687365727.6823573	10458.50000	-2861.012028	17449.49250	20310.50453
687365727.9323573	10458.75000	-2859.643810	17450.82420	20310.46801
687365728.1823573	10459.00000	-2860.139992	17450.29150	20310.43149
687365728.4323573	10459.25000	-2859.853072	17450.54190	20310.39497
687365728.6823573	10459.50000	-2859.298952	17451.05950	20310.35845
687365728.9323573	10459.75000	-2860.784430	17449.53750	20310.32193
687365729.1823573	10460.00000	-2859.394608	17450.89080	20310.28541
687365729.4323573	10460.25000	-2858.893885	17451.35500	20310.24889
687365729.6823573	10460.50000	-2857.902662	17452.30970	20310.21236
687365729.9323573	10460.75000	-2857.495637	17452.68020	20310.17584
687365730.1823573	10461.00000	-2860.454410	17449.68490	20310.13931
687365730.4323573	10461.25000	-2859.460884	17450.64190	20310.10278
687365730.6823573	10461.50000	-2858.529256	17451.53700	20310.06626
687365730.9323573	10461.75000	-2857.826027	17452.20370	20310.02973
687365731.1823573	10462.00000	-2858.460597	17451.53260	20309.99320
687365731.4323573	10462.25000	-2857.642866	17452.31380	20309.95667
687365731.6823573	10462.50000	-2858.277535	17451.64260	20309.92014
687365731.9323573	10462.75000	-2857.587903	17452.29570	20309.88360
687365732.1823573	10463.00000	-2859.771569	17450.07550	20309.84707
687365732.4323573	10463.25000	-2856.762735	17453.04780	20309.81054
687365732.6823573	10463.50000	-2860.742900	17449.03110	20309.77400
687365732.9323573	10463.75000	-2856.763564	17452.97390	20309.73746
687365733.1823573	10464.00000	-2854.420627	17455.28030	20309.70093
687365733.4323573	10464.25000	-2856.701590	17452.96280	20309.66439
687365733.6823573	10464.50000	-2856.900151	17452.72770	20309.62785
687365733.9323573	10464.75000	-2856.490911	17453.10040	20309.59131
687365734.1823573	10465.00000	-2856.012370	17453.54240	20309.55477
687365734.4323573	10465.25000	-2856.108729	17453.40950	20309.51823
687365734.6823573	10465.50000	-2852.397987	17457.08370	20309.48169
687365734.9323573	10465.75000	-2857.471743	17451.97340	20309.44514
687365735.1823573	10466.00000	-2853.617299	17455.79130	20309.40860
687365735.4323573	10466.25000	-2854.088154	17455.28390	20309.37205
687365735.6823573	10466.50000	-2853.478107	17455.85740	20309.33551
687365735.9323573	10466.75000	-2853.600561	17455.69840	20309.29896
687365736.1823573	10467.00000	-2856.222313	17453.04010	20309.26241
687365736.4323573	10467.25000	-2852.925764	17456.30010	20309.22586
687365736.6823573	10467.50000	-2849.168214	17460.02110	20309.18931
687365736.9323573	10467.75000	-2854.049363	17455.10340	20309.15276
687365737.1823573	10468.00000	-2854.705812	17454.41040	20309.11621
687365737.4323573	10468.25000	-2852.644559	17456.43510	20309.07966
687365737.6823573	10468.50000	-2854.131906	17454.91120	20309.04311
687365737.9323573	10468.75000	-2853.867652	17455.13890	20309.00655
687365738.1823573	10469.00000	-2852.164696	17456.80530	20308.97000
687365738.4323573	10469.25000	-2852.925240	17456.00820	20308.93344
687365738.6823573	10469.50000	-2853.339883	17455.55700	20308.89688
687365738.9323573	10469.75000	-2853.476525	17455.38380	20308.86033
687365739.1823573	10470.00000	-2853.235666	17455.58810	20308.82377
687365739.4323573	10470.25000	-2853.033606	17455.75360	20308.78721
687365739.6823573	10470.50000	-2853.104845	17455.64580	20308.75065
687365739.9323573	10470.75000	-2853.322184	17455.39190	20308.71408
687365740.1823573	10471.00000	-2852.828621	17455.84890	20308.67752
687365740.4323573	10471.25000	-2851.357558	17457.28340	20308.64096
687365740.6823573	10471.50000	-2851.982993	17456.62140	20308.60439
687365740.9323573	10471.75000	-2852.547628	17456.02020	20308.56783
687365741.1823573	10472.00000	-2849.764362	17458.76690	20308.53126
687365741.4323573	10472.25000	-2851.328994	17457.16570	20308.49469
687365741.6823573	10472.50000	-2850.714226	17457.74390	20308.45813
687365741.9323573	10472.75000	-2848.001457	17460.42010	20308.42156
687365742.1823573	10473.00000	-2850.927687	17457.45730	20308.38499
687365742.4323573	10473.25000	-2850.355916	17457.99250	20308.34842
687365742.6823573	10473.50000	-2851.641044	17456.67080	20308.31184
687365742.9323573	10473.75000	-2851.069771	17457.20550	20308.27527
687365743.1823573	10474.00000	-2851.535998	17456.70270	20308.23870
687365743.4323573	10474.25000	-2850.935023	17457.26710	20308.20212
687365743.6823573	10474.50000	-2850.708848	17457.45670	20308.16555
687365743.9323573	10474.75000	-2847.853572	17460.27540	20308.12897
687365744.1823573	10475.00000	-2850.562094	17457.53030	20308.09239
687365744.4323573	10475.25000	-2848.428616	17459.62720	20308.05582
687365744.6823573	10475.50000	-2850.728837	17457.29040	20308.01924
687365744.9323573	10475.75000	-2851.453256	17456.52940	20307.98266
687365745.1823573	10476.00000	-2849.061376	17458.88470	20307.94608
687365745.4323573	10476.25000	-2849.554493	17458.35500	20307.90949
687365745.6823573	10476.50000	-2848.998510	17458.87440	20307.87291
687365745.9323573	10476.75000	-2856.077627	17451.75870	20307.83633
687365746.1823573	10477.00000	-2849.497843	17458.30190	20307.79974
687365746.4323573	10477.25000	-2848.920457	17458.84270	20307.76316
687365746.6823573	10477.50000	-2849.192171	17458.53440	20307.72657
687365746.9323573	10477.75000	-2848.412483	17459.27750	20307.68998
687365747.1823573	10478.00000	-2850.999795	17456.65360	20307.65340
687365747.4323573	10478.25000	-2847.955106	17459.66170	20307.61681
687365747.6823573	10478.50000	-2849.033315	17458.54690	20307.58021
687365747.9323573	10478.75000	-2848.586624	17458.95700	20307.54362
687365748.1823573	10479.00000	-2846.480832	17461.02620	20307.50703
