i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp
15,21734.5,37.45661076745688,8410640000.0,-42165.67913777697,-334167.6791381836
15,21734.75,35.147808363299156,8410640000.0,-42161.7325779955,-334163.7325782776
16,21735.0,38.585252696796736,8410640000.0,-42157.64802674393,-334159.64802646637
16,21735.25,41.15251678018563,8410640000.0,-42153.58293358206,-334155.5829334259
16,21735.5,39.16597385889926,8410640000.0,-42149.53262202494,-334151.53262233734
16,21735.75,38.42457834121709,8410640000.0,-42145.54760240551,-334147.5476026535
17,21736.0,37.341653824733626,8410640000.0,-42141.455514110494,-334143.45551395416
17,21736.25,37.84469089190231,8410640000.0,-42137.42158742742,-334139.42158699036
17,21736.5,39.68754609538104,8410640000.0,-42133.37726064324,-334135.37726020813
17,21736.75,38.196970485344266,8410640000.0,-42129.20899157356,-334131.2089920044
18,21737.0,40.26681728886528,8410640000.0,-42125.26706443613,-334127.26706409454
18,21737.25,40.763227352992985,8410640000.0,-42121.162078079775,-334123.16207790375
18,21737.5,39.05352403259121,8410640000.0,-42117.1930090368,-334119.1930093765
18,21737.75,39.79643318713088,8410640000.0,-42112.913259297056,-334114.9132595062
19,21738.0,39.93342653593376,8410640000.0,-42109.012599114765,-334111.0125989914
19,21738.25,38.42038942131357,8410640000.0,-42105.07156655075,-334107.0715665817
19,21738.5,39.30990530374872,8410640000.0,-42100.8690877008,-334102.8690881729
19,21738.75,37.4699167894014,8410640000.0,-42096.91211111188,-334098.91211128235
20,21739.0,38.56927422036269,8410640000.0,-42092.79117480559,-334094.7911748886
20,21739.25,39.42392809818369,8410640000.0,-42088.6738399966,-334090.6738395691
20,21739.5,40.3394750721863,8410640000.0,-42084.7582476097,-334086.7582473755
20,21739.75,38.01947378399275,8410640000.0,-42080.726181321035,-334082.7261810303
21,21740.0,39.138636241741104,8410640000.0,-42076.61387265901,-334078.6138725281
21,21740.25,38.13988710886688,8410640000.0,-42072.479125836195,-334074.47912597656
21,21740.5,39.085991840395096,8410640000.0,-42068.37270187482,-334070.3727016449
21,21740.75,37.854703351673,8410640000.0,-42064.30625651626,-334066.30625629425
22,21741.0,40.649195144607184,8410640000.0,-42060.3775557415,-334062.37755584717
22,21741.25,39.74265144423483,8410640000.0,-42056.23155272788,-334058.2315530777
22,21741.5,39.06605238254001,8410640000.0,-42052.07902281739,-334054.07902240753
22,21741.75,39.605867022770035,8410640000.0,-42047.98044775526,-334049.98044776917
23,21742.0,38.878982645419335,8410640000.0,-42043.900303718336,-334045.90030384064
23,21742.25,40.1504781359682,8410640000.0,-42040.07002116446,-334042.07002162933
23,21742.5,40.09838893416248,8410640000.0,-42035.956132267645,-334037.9561319351
23,21742.75,38.6603148887664,8410640000.0,-42031.76376864765,-334033.7637681961
24,21743.0,40.0930072597928,8410640000.0,-42027.77498589737,-334029.7749862671
24,21743.25,39.88609064195857,8410640000.0,-42023.731602984226,-334025.73160266876
24,21743.5,41.10439625941174,8410640000.0,-42019.62619565668,-334021.6261959076
24,21743.75,41.160512015490376,8410640000.0,-42015.54650199204,-334017.54650211334
25,21744.0,41.42061437908349,8410640000.0,-42011.40041089194,-334013.40041065216
25,21744.25,40.11827864747161,8410640000.0,-42007.26332488297,-334009.26332473755
25,21744.5,40.05269388712823,8410640000.0,-42003.20189424669,-334005.20189380646
25,21744.75,37.85498036008475,8410640000.0,-41999.209969879375,-334001.20996952057
26,21745.0,39.24415263168903,8410640000.0,-41995.084891993414,-333997.08489227295
26,21745.25,39.23952286300919,8410640000.0,-41991.0720813394,-333993.07208156586
26,21745.5,40.123530750175526,8410640000.0,-41986.96197555503,-333988.96197509766
26,21745.75,40.32715346094444,8410640000.0,-41982.76427107993,-333984.76427078247
27,21746.0,40.37020632669705,8410640000.0,-41978.77323189848,-333980.77323150635
27,21746.25,39.952426159806436,8410640000.0,-41974.72536889389,-333976.72536849976
