ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
687279274.1823537	10405.00000	-2875.217110	18827.24810	21702.46521
687279274.4323537	10405.25000	-2868.257460	18834.15490	21702.41236
687279274.6823537	10405.50000	-2871.350709	18831.00880	21702.35951
687279274.9323537	10405.75000	-2872.053158	18830.25350	21702.30666
687279275.1823537	10406.00000	-2876.780005	18825.47380	21702.25381
687279275.4323537	10406.25000	-2873.186753	18829.01420	21702.20095
687279275.6823537	10406.50000	-2872.451300	18829.69680	21702.14810
687279275.9323537	10406.75000	-2874.913545	18827.18170	21702.09524
687279276.1823537	10407.00000	-2874.068590	18827.97380	21702.04239
687279276.4323537	10407.25000	-2872.512135	18829.47740	21701.98954
687279276.6823537	10407.50000	-2871.932078	18830.00460	21701.93668
687279276.9323537	10407.75000	-2873.158022	18828.72580	21701.88382
687279277.1823537	10408.00000	-2869.360665	18832.47030	21701.83096
687279277.4323537	10408.25000	-2873.094706	18828.68340	21701.77811
687279277.6823537	10408.50000	-2872.050747	18829.67450	21701.72525
687279277.9323537	10408.75000	-2870.756588	18830.91580	21701.67239
687279278.1823537	10409.00000	-2871.121228	18830.49830	21701.61953
687279278.4323537	10409.25000	-2874.483367	18827.08330	21701.56667
687279278.6823537	10409.50000	-2869.760805	18831.75300	21701.51381
687279278.9323537	10409.75000	-2867.639643	18833.82130	21701.46094
687279279.1823537	10410.00000	-2868.573581	18832.83450	21701.40808
687279279.4323537	10410.25000	-2867.852417	18833.50280	21701.35522
687279279.6823537	10410.50000	-2869.255452	18832.04690	21701.30235
687279279.9323537	10410.75000	-2867.795387	18833.45410	21701.24949
687279280.1823537	10411.00000	-2868.443222	18832.75340	21701.19662
687279280.4323537	10411.25000	-2866.909555	18834.23420	21701.14376
687279280.6823537	10411.50000	-2867.647189	18833.44370	21701.09089
687279280.9323537	10411.75000	-2868.905321	18832.13270	21701.03802
687279281.1823537	10412.00000	-2870.921653	18830.06350	21700.98515
687279281.4323537	10412.25000	-2864.700083	18836.23220	21700.93228
687279281.6823537	10412.50000	-2868.533315	18832.34610	21700.87941
687279281.9323537	10412.75000	-2867.919944	18832.90660	21700.82654
687279282.1823537	10413.00000	-2869.332373	18831.44130	21700.77367
687279282.4323537	10413.25000	-2866.725101	18833.99570	21700.72080
687279282.6823537	10413.50000	-2864.235930	18836.43200	21700.66793
687279282.9323537	10413.75000	-2863.258756	18837.35630	21700.61506
687279283.1823537	10414.00000	-449.638082	21250.92410	21700.56218
687279283.4323537	10414.25000	-2867.004308	18833.50500	21700.50931
687279283.6823537	10414.50000	-2865.986034	18834.47040	21700.45643
687279283.9323537	10414.75000	-2866.945657	18833.45790	21700.40356
687279284.1823537	10415.00000	-2864.806781	18835.54390	21700.35068
687279284.4323537	10415.25000	-2862.214505	18838.08330	21700.29781
687279284.6823537	10415.50000	-2864.296226	18835.94870	21700.24493
687279284.9323537	10415.75000	-2866.023449	18834.16860	21700.19205
687279285.1823537	10416.00000	-2865.174970	18834.96420	21700.13917
687279285.4323537	10416.25000	-2863.457490	18836.62880	21700.08629
687279285.6823537	10416.50000	-2860.502109	18839.53130	21700.03341
687279285.9323537	10416.75000	-2859.263228	18840.71730	21699.98053
687279286.1823537	10417.00000	-2864.135147	18835.79250	21699.92765
687279286.4323537	10417.25000	-2864.066564	18835.80820	21699.87476
687279286.6823537	10417.50000	-2865.595781	18834.22610	21699.82188
687279286.9323537	10417.75000	-2863.537197	18836.23180	21699.76900
