ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
686415274.1823459	10405.00000	-70.969554	11250.82460	11321.79415
686415274.4323459	10405.25000	-70.946029	11250.81420	11321.76023
686415274.6823459	10405.50000	-70.933104	11250.79320	11321.72630
686415274.9323459	10405.75000	-70.883778	11250.80860	11321.69238
686415275.1823459	10406.00000	-70.820050	11250.83840	11321.65845
686415275.4323459	10406.25000	-70.787222	11250.83730	11321.62452
686415275.6823459	10406.50000	-70.798193	11250.79240	11321.59059
686415275.9323459	10406.75000	-70.713463	11250.84320	11321.55666
686415276.1823459	10407.00000	-70.727632	11250.79510	11321.52273
686415276.4323459	10407.25000	-70.670300	11250.81850	11321.48880
686415276.6823459	10407.50000	-70.642667	11250.81220	11321.45487
686415276.9323459	10407.75000	-70.610832	11250.81010	11321.42093
686415277.1823459	10408.00000	-70.564497	11250.82250	11321.38700
686415277.4323459	10408.25000	-70.560162	11250.79290	11321.35306
686415277.6823459	10408.50000	-70.506224	11250.81290	11321.31912
686415277.9323459	10408.75000	-70.437386	11250.84780	11321.28519
686415278.1823459	10409.00000	-70.463347	11250.78790	11321.25125
686415278.4323459	10409.25000	-70.413807	11250.80350	11321.21731
686415278.6823459	10409.50000	-70.333567	11250.84980	11321.18337
686415278.9323459	10409.75000	-70.323925	11250.82550	11321.14943
686415279.1823459	10410.00000	-70.277482	11250.83800	11321.11548
686415279.4323459	10410.25000	-70.234938	11250.84660	11321.08154
686415279.6823459	10410.50000	-70.212294	11250.83530	11321.04759
686415279.9323459	10410.75000	-70.172949	11250.84070	11321.01365
686415280.1823459	10411.00000	-70.154201	11250.82550	11320.97970
686415280.4323459	10411.25000	-70.189754	11250.75600	11320.94575
686415280.6823459	10411.50000	-70.117705	11250.79410	11320.91181
686415280.9323459	10411.75000	-70.047656	11250.83020	11320.87786
686415281.1823459	10412.00000	-70.032805	11250.81110	11320.84390
686415281.4323459	10412.25000	-69.989254	11250.82070	11320.80995
686415281.6823459	10412.50000	-69.968702	11250.80730	11320.77600
686415281.9323459	10412.75000	-69.917148	11250.82490	11320.74205
686415282.1823459	10413.00000	-69.869393	11250.83870	11320.70809
686415282.4323459	10413.25000	-69.844337	11250.82980	11320.67414
686415282.6823459	10413.50000	-69.739081	11250.90110	11320.64018
686415282.9323459	10413.75000	-69.779224	11250.82700	11320.60622
686415283.1823459	10414.00000	-69.745065	11250.82720	11320.57227
686415283.4323459	10414.25000	-69.739106	11250.79920	11320.53831
686415283.6823459	10414.50000	-69.680446	11250.82390	11320.50435
686415283.9323459	10414.75000	-69.646284	11250.82410	11320.47038
686415284.1823459	10415.00000	-69.614122	11250.82230	11320.43642
686415284.4323459	10415.25000	-69.566059	11250.83640	11320.40246
686415284.6823459	10415.50000	-69.558594	11250.80990	11320.36849
686415284.9323459	10415.75000	-69.547829	11250.78670	11320.33453
686415285.1823459	10416.00000	-69.529963	11250.77060	11320.30056
686415285.4323459	10416.25000	-69.428096	11250.83850	11320.26660
686415285.6823459	10416.50000	-69.452028	11250.78060	11320.23263
686415285.9323459	10416.75000	-69.403959	11250.79470	11320.19866
686415286.1823459	10417.00000	-69.371889	11250.79280	11320.16469
686415286.4323459	10417.25000	-69.319118	11250.81160	11320.13072
686415286.6823459	10417.50000	-69.288946	11250.80780	11320.09675
686415286.9323459	10417.75000	-69.241073	11250.82170	11320.06277
686415287.1823459	10418.00000	-69.209599	11250.81920	11320.02880
686415287.4323459	10418.25000	-69.169624	11250.82520	11319.99482
686415287.6823459	10418.50000	-69.212848	11250.74800	11319.96085
686415287.9323459	10418.75000	-69.119271	11250.80760	11319.92687
686415288.1823459	10419.00000	-69.093593	11250.79930	11319.89289
686415288.4323459	10419.25000	-69.043415	11250.81550	11319.85891
686415288.6823459	10419.50000	-69.029035	11250.79590	11319.82493
686415288.9323459	10419.75000	-68.992555	11250.79840	11319.79095
686415289.1823459	10420.00000	-68.951872	11250.80510	11319.75697
686415289.4323459	10420.25000	-68.906290	11250.81670	11319.72299
686415289.6823459	10420.50000	-68.869206	11250.81980	11319.68901
686415289.9323459	10420.75000	-68.860121	11250.79490	11319.65502
686415290.1823459	10421.00000	-68.829936	11250.79110	11319.62104
686415290.4323459	10421.25000	-68.758349	11250.82870	11319.58705
686415290.6823459	10421.50000	-68.733662	11250.81940	11319.55306
686415290.9323459	10421.75000	-68.681574	11250.83750	11319.51907
686415291.1823459	10422.00000	-68.642184	11250.84290	11319.48508
686415291.4323459	10422.25000	-68.609094	11250.84200	11319.45109
686415291.6823459	10422.50000	-68.626802	11250.79030	11319.41710
686415291.9323459	10422.75000	-68.547910	11250.83520	11319.38311
686415292.1823459	10423.00000	-68.592016	11250.75710	11319.34912
686415292.4323459	10423.25000	-68.469921	11250.84520	11319.31512
686415292.6823459	10423.50000	-68.487626	11250.79350	11319.28113
686415292.9323459	10423.75000	-68.421631	11250.82550	11319.24713
686415293.1823459	10424.00000	-68.384833	11250.82830	11319.21313
686415293.4323459	10424.25000	-68.366435	11250.81270	11319.17913
686415293.6823459	10424.50000	-68.370636	11250.77450	11319.14514
686415293.9323459	10424.75000	-68.281535	11250.82960	11319.11114
686415294.1823459	10425.00000	-68.238035	11250.83910	11319.07713
686415294.4323459	10425.25000	-68.238832	11250.80430	11319.04313
686415294.6823459	10425.50000	-68.174129	11250.83500	11319.00913
686415294.9323459	10425.75000	-68.171125	11250.80400	11318.97512
686415295.1823459	10426.00000	-68.124321	11250.81680	11318.94112
686415295.4323459	10426.25000	-68.073015	11250.83410	11318.90711
686415295.6823459	10426.50000	-68.067708	11250.80540	11318.87311
686415295.9323459	10426.75000	-68.022100	11250.81700	11318.83910
686415296.1823459	10427.00000	-68.000190	11250.80490	11318.80509
686415296.4323459	10427.25000	-67.948081	11250.82300	11318.77108
686415296.6823459	10427.50000	-67.957970	11250.77910	11318.73707
686415296.9323459	10427.75000	-67.889358	11250.81370	11318.70306
686415297.1823459	10428.00000	-67.861645	11250.80740	11318.66905
686415297.4323459	10428.25000	-67.819832	11250.81520	11318.63503
686415297.6823459	10428.50000	-67.776317	11250.82470	11318.60102
686415297.9323459	10428.75000	-67.763201	11250.80380	11318.56700
686415298.1823459	10429.00000	-67.711084	11250.82190	11318.53298
686415298.4323459	10429.25000	-67.704467	11250.79450	11318.49897
686415298.6823459	10429.50000	-67.668148	11250.79680	11318.46495
686415298.9323459	10429.75000	-67.561529	11250.86940	11318.43093
686415299.1823459	10430.00000	-67.595208	11250.80170	11318.39691
686415299.4323459	10430.25000	-67.535086	11250.82780	11318.36289
686415299.6823459	10430.50000	-67.506264	11250.82260	11318.32886
686415299.9323459	10430.75000	-67.502041	11250.79280	11318.29484
686415300.1823459	10431.00000	-67.462516	11250.79830	11318.26082
686415300.4323459	10431.25000	-67.402690	11250.82410	11318.22679
686415300.6823459	10431.50000	-67.350765	11250.84200	11318.19276
686415300.9323459	10431.75000	-67.357837	11250.80090	11318.15874
686415301.1823459	10432.00000	-67.292208	11250.83250	11318.12471
686415301.4323459	10432.25000	-67.268979	11250.82170	11318.09068
686415301.6823459	10432.50000	-67.229449	11250.82720	11318.05665
686415301.9323459	10432.75000	-67.199717	11250.82290	11318.02262
686415302.1823459	10433.00000	-67.187285	11250.80130	11317.98859
686415302.4323459	10433.25000	-67.132152	11250.82240	11317.95455
686415302.6823459	10433.50000	-67.106218	11250.81430	11317.92052
686415302.9323459	10433.75000	-66.922183	11250.96430	11317.88648
686415303.1823459	10434.00000	-67.062647	11250.78980	11317.85245
686415303.4323459	10434.25000	-67.027209	11250.79120	11317.81841
686415303.6823459	10434.50000	-66.933171	11250.85120	11317.78437
686415303.9323459	10434.75000	-66.945532	11250.80480	11317.75033
686415304.1823459	10435.00000	-66.897992	11250.81830	11317.71629
686415304.4323459	10435.25000	-66.855151	11250.82710	11317.68225
686415304.6823459	10435.50000	-66.837310	11250.81090	11317.64821
686415304.9323459	10435.75000	-66.768667	11250.84550	11317.61417
686415305.1823459	10436.00000	-66.770223	11250.80990	11317.58012
686415305.4323459	10436.25000	-66.739878	11250.80620	11317.54608
686415305.6823459	10436.50000	-66.738332	11250.77370	11317.51203
686415305.9323459	10436.75000	-66.656385	11250.82160	11317.47798
686415306.1823459	10437.00000	-66.622638	11250.82130	11317.44394
686415306.4323459	10437.25000	-66.590789	11250.81910	11317.40989
686415306.6823459	10437.50000	-66.562439	11250.81340	11317.37584
686415306.9323459	10437.75000	-66.534789	11250.80700	11317.34179
686415307.1823459	10438.00000	-66.490936	11250.81680	11317.30774
686415307.4323459	10438.25000	-66.466484	11250.80720	11317.27368
686415307.6823459	10438.50000	-66.416031	11250.82360	11317.23963
686415307.9323459	10438.75000	-66.420575	11250.78500	11317.20558
686415308.1823459	10439.00000	-66.335320	11250.83620	11317.17152
686415308.4323459	10439.25000	-66.292264	11250.84520	11317.13746
686415308.6823459	10439.50000	-66.287706	11250.81570	11317.10341
686415308.9323459	10439.75000	-66.267648	11250.80170	11317.06935
686415309.1823459	10440.00000	-66.208988	11250.82630	11317.03529
686415309.4323459	10440.25000	-66.189428	11250.81180	11317.00123
686415309.6823459	10440.50000	-66.150667	11250.81650	11316.96717
686415309.9323459	10440.75000	-66.123605	11250.80950	11316.93310
686415310.1823459	10441.00000	-66.076641	11250.82240	11316.89904
686415310.4323459	10441.25000	-66.051677	11250.81330	11316.86498
686415310.6823459	10441.50000	-65.995211	11250.83570	11316.83091
686415310.9323459	10441.75000	-65.999645	11250.79720	11316.79685
686415311.1823459	10442.00000	-65.965278	11250.79750	11316.76278
686415311.4323459	10442.25000	-65.900410	11250.82830	11316.72871
686415311.6823459	10442.50000	-65.876241	11250.81840	11316.69464
686415311.9323459	10442.75000	-65.846871	11250.81370	11316.66057
686415312.1823459	10443.00000	-65.783600	11250.84290	11316.62650
686415312.4323459	10443.25000	-65.774028	11250.81840	11316.59243
686415312.6823459	10443.50000	-65.778254	11250.78010	11316.55835
686415312.9323459	10443.75000	-65.685181	11250.83910	11316.52428
686415313.1823459	10444.00000	-65.692106	11250.79810	11316.49021
686415313.4323459	10444.25000	-65.663130	11250.79300	11316.45613
686415313.6823459	10444.50000	-65.606553	11250.81550	11316.42205
686415313.9323459	10444.75000	-65.589375	11250.79860	11316.38798
686415314.1823459	10445.00000	-65.522596	11250.83130	11316.35390
686415314.4323459	10445.25000	-65.507717	11250.81210	11316.31982
686415314.6823459	10445.50000	-65.481536	11250.80420	11316.28574
686415314.9323459	10445.75000	-65.443154	11250.80850	11316.25165
686415315.1823459	10446.00000	-65.420471	11250.79710	11316.21757
686415315.4323459	10446.25000	-65.352487	11250.83100	11316.18349
686415315.6823459	10446.50000	-65.305303	11250.84410	11316.14940
686415315.9323459	10446.75000	-65.159617	11250.95570	11316.11532
686415316.1823459	10447.00000	-65.290731	11250.79050	11316.08123
686415316.4323459	10447.25000	-65.205943	11250.84120	11316.04714
686415316.6823459	10447.50000	-65.193154	11250.81990	11316.01305
686415316.9323459	10447.75000	-65.133465	11250.84550	11315.97897
686415317.1823459	10448.00000	-65.162674	11250.78220	11315.94487
686415317.4323459	10448.25000	-65.095182	11250.81560	11315.91078
686415317.6823459	10448.50000	-65.066891	11250.80980	11315.87669
686415317.9323459	10448.75000	-65.034597	11250.80800	11315.84260
686415318.1823459	10449.00000	-65.000302	11250.80820	11315.80850
686415318.4323459	10449.25000	-64.949607	11250.82480	11315.77441
