i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp, second_moment,RTEC
7,21726.75,34.889608847580774,8410640000.0,-42291.34174118127,-334293.3417415619,5.025942053950284,2.8957177781219653e+30
8,21727.0,36.08686457209319,8410640000.0,-42287.376723431684,-334289.3767232895,5.360762594244461,3.0556045425384167e+30
8,21727.25,36.10163249603762,8410640000.0,-42283.17685839449,-334285.1768579483,4.6156063213767675,2.6973189347943214e+30
8,21727.5,34.65911980263476,8410640000.0,-42279.08932917295,-334281.08932876587,4.871186106135385,2.8212220538872385e+30
8,21727.75,33.722509402635325,8410640000.0,-42275.097148285815,-334277.0971479416,3.9701746501659056,2.3791199835229703e+30
9,21728.0,34.39727128341366,8410640000.0,-42271.00215643283,-334273.00215625763,4.8233200525205495,2.7981010986814664e+30
9,21728.25,33.68347834592427,8410640000.0,-42267.07520153847,-334269.0752019882,3.717705207557403,2.252358203605154e+30
9,21728.5,33.28042081533894,8410640000.0,-42263.02434960607,-334265.02434921265,3.8878543531300904,2.337939798809058e+30
9,21728.75,33.39100161749539,8410640000.0,-42258.99435061265,-334260.99435043335,4.003109882110852,2.3955556320013378e+30
10,21729.0,33.91084459957771,8410640000.0,-42254.943394701324,-334256.94339466095,3.854814391236093,2.3213710351818158e+30
10,21729.25,34.70835100292873,8410640000.0,-42250.87708314147,-334252.8770828247,4.1432875574836965,2.4652590664036123e+30
10,21729.5,41.81104374341521,8410640000.0,-42246.83733701585,-334248.8373365402,3.870034450121043,2.3290064647789194e+30
10,21729.75,41.860528040978785,8410640000.0,-42242.80970358464,-334244.8097038269,4.068584162989158,2.4281625413455637e+30
11,21730.0,38.50928776628248,8410640000.0,-42238.67080793161,-334240.67080783844,4.768519656980641,2.7715835980083985e+30
11,21730.25,36.64839706063817,8410640000.0,-42234.79205151187,-334236.7920513153,5.315481664059962,3.034081123345232e+30
11,21730.5,38.49407166200472,8410640000.0,-42230.66235322465,-334232.6623535156,5.472667457856359,3.108667105332783e+30
11,21730.75,37.81492752349704,8410640000.0,-42226.61412949319,-334228.61412906647,5.638499901520604,3.186970052612886e+30
12,21731.0,40.30833043213202,8410640000.0,-42222.56871227933,-334224.5687122345,4.5037894714266224,2.6427539824771545e+30
12,21731.25,42.48462378724476,8410640000.0,-42218.52184828251,-334220.5218486786,5.324505930881537,3.0383730652911286e+30
12,21731.5,41.482304837144355,8410640000.0,-42214.52980063374,-334216.52980041504,5.9501478891831665,3.3330983986900167e+30
12,21731.75,40.49949316575684,8410640000.0,-42210.44165809807,-334212.44165802,4.837589751646574,2.804997839897206e+30
13,21732.0,41.53610373345115,8410640000.0,-42206.28038265479,-334208.28038311005,4.672143547211424,2.7248241693333503e+30
13,21732.25,39.02573316371931,8410640000.0,-42202.23121997862,-334204.23122024536,4.84689297509292,2.809492389195103e+30
13,21732.5,37.817306808186146,8410640000.0,-42198.327574357914,-334200.3275747299,5.414119628748671,3.0809279433426975e+30
13,21732.75,35.34371440705763,8410640000.0,-42194.10225960594,-334196.1022596359,4.731947914619765,2.753858562320756e+30
14,21733.0,32.57306156060258,8410640000.0,-42190.0661260717,-334192.06612586975,4.557705368540872,2.669091981729421e+30
14,21733.25,32.249208784946504,8410640000.0,-42186.09749648921,-334188.0974960327,4.167212053951018,2.4771159481511857e+30
14,21733.5,34.366653076645655,8410640000.0,-42182.03883030382,-334184.03883075714,3.963067942478669,2.3755705523216325e+30
14,21733.75,34.87674917967473,8410640000.0,-42177.97617015913,-334179.97617053986,3.861493261086503,2.324722233710716e+30
15,21734.0,36.108578543490104,8410640000.0,-42173.99080069713,-334175.99080085754,4.0187347965266484,2.4033450333344192e+30
15,21734.25,35.07341103167664,8410640000.0,-42169.87575318511,-334171.8757534027,3.882444533915351,2.335228513466298e+30
15,21734.5,37.45661076745688,8410640000.0,-42165.67913777697,-334167.6791381836,4.66942968164152,2.7235051522609365e+30
15,21734.75,35.147808363299156,8410640000.0,-42161.7325779955,-334163.7325782776,3.9630777424935375,2.3755754476498383e+30
16,21735.0,38.585252696796736,8410640000.0,-42157.64802674393,-334159.64802646637,3.946991212449635,2.3675371427413972e+30
16,21735.25,41.15251678018563,8410640000.0,-42153.58293358206,-334155.5829334259,5.378146505717414,3.063859590463705e+30
16,21735.5,39.16597385889926,8410640000.0,-42149.53262202494,-334151.53262233734,5.881995908970784,3.301253945615542e+30
16,21735.75,38.42457834121709,8410640000.0,-42145.54760240551,-334147.5476026535,4.650605675455566,2.714352619844772e+30
17,21736.0,37.341653824733626,8410640000.0,-42141.455514110494,-334143.45551395416,5.0640379479034605,2.913997183895609e+30
17,21736.25,37.84469089190231,8410640000.0,-42137.42158742742,-334139.42158699036,4.726250978671234,2.751095406629646e+30
17,21736.5,39.68754609538104,8410640000.0,-42133.37726064324,-334135.37726020813,5.915710728119168,3.3170150545950904e+30
17,21736.75,38.196970485344266,8410640000.0,-42129.20899157356,-334131.2089920044,4.723776494272693,2.749895047231342e+30
18,21737.0,40.26681728886528,8410640000.0,-42125.26706443613,-334127.26706409454,5.1157757575182154,2.9387856993475333e+30
18,21737.25,40.763227352992985,8410640000.0,-42121.162078079775,-334123.16207790375,3.9946814587148727,2.3913517540127073e+30
18,21737.5,39.05352403259121,8410640000.0,-42117.1930090368,-334119.1930093765,4.583335763415603,2.6815942328738695e+30
18,21737.75,39.79643318713088,8410640000.0,-42112.913259297056,-334114.9132595062,4.865579381995867,2.81851577740818e+30
19,21738.0,39.93342653593376,8410640000.0,-42109.012599114765,-334111.0125989914,4.2260167177738275,2.5062112616052583e+30
19,21738.25,38.42038942131357,8410640000.0,-42105.07156655075,-334107.0715665817,4.726233698586173,2.7510870245142835e+30
19,21738.5,39.30990530374872,8410640000.0,-42100.8690877008,-334102.8690881729,3.9475533686465485,2.367818139456967e+30
19,21738.75,37.4699167894014,8410640000.0,-42096.91211111188,-334098.91211128235,3.8129434910562603,2.30033970505868e+30
20,21739.0,38.56927422036269,8410640000.0,-42092.79117480559,-334094.7911748886,3.8333157328662746,2.3105772583194194e+30
20,21739.25,39.42392809818369,8410640000.0,-42088.6738399966,-334090.6738395691,5.341687750608451,3.0465413908432603e+30
20,21739.5,40.3394750721863,8410640000.0,-42084.7582476097,-334086.7582473755,4.701954353016125,2.739304696243995e+30
20,21739.75,38.01947378399275,8410640000.0,-42080.726181321035,-334082.7261810303,4.421099945329118,2.6022575599993866e+30
21,21740.0,39.138636241741104,8410640000.0,-42076.61387265901,-334078.6138725281,5.385447208343448,3.0673251274439886e+30
21,21740.25,38.13988710886688,8410640000.0,-42072.479125836195,-334074.47912597656,5.30969249041881,3.0313271525816305e+30
21,21740.5,39.085991840395096,8410640000.0,-42068.37270187482,-334070.3727016449,5.531128117633882,3.136315660768957e+30
21,21740.75,37.854703351673,8410640000.0,-42064.30625651626,-334066.30625629425,5.650093773440007,3.192429985373245e+30
22,21741.0,40.649195144607184,8410640000.0,-42060.3775557415,-334062.37755584717,5.1146330720281865,2.9382386708275615e+30
22,21741.25,39.74265144423483,8410640000.0,-42056.23155272788,-334058.2315530777,4.728434401386354,2.7521544865466397e+30
22,21741.5,39.06605238254001,8410640000.0,-42052.07902281739,-334054.07902240753,3.989967867526906,2.389000093113031e+30
22,21741.75,39.605867022770035,8410640000.0,-42047.98044775526,-334049.98044776917,4.762815046713974,2.768820269915488e+30
23,21742.0,38.878982645419335,8410640000.0,-42043.900303718336,-334045.90030384064,4.7268971596923475,2.7514088484030327e+30
23,21742.25,40.1504781359682,8410640000.0,-42040.07002116446,-334042.07002162933,4.752283686407754,2.763717401610199e+30
23,21742.5,40.09838893416248,8410640000.0,-42035.956132267645,-334037.9561319351,4.044122547524422,2.415990697047812e+30
23,21742.75,38.6603148887664,8410640000.0,-42031.76376864765,-334033.7637681961,4.539670223117631,2.660287595124524e+30
24,21743.0,40.0930072597928,8410640000.0,-42027.77498589737,-334029.7749862671,4.654900279165752,2.7164412675226135e+30
24,21743.25,39.88609064195857,8410640000.0,-42023.731602984226,-334025.73160266876,4.737313209248373,2.756460356790127e+30
24,21743.5,41.10439625941174,8410640000.0,-42019.62619565668,-334021.6261959076,5.217295527225753,2.9873047729027455e+30
24,21743.75,41.160512015490376,8410640000.0,-42015.54650199204,-334017.54650211334,5.433582492286321,3.0901547038031795e+30
25,21744.0,41.42061437908349,8410640000.0,-42011.40041089194,-334013.40041065216,5.108340288279646,2.935225812600258e+30
25,21744.25,40.11827864747161,8410640000.0,-42007.26332488297,-334009.26332473755,5.033824819997626,2.8995020245933356e+30
25,21744.5,40.05269388712823,8410640000.0,-42003.20189424669,-334005.20189380646,5.464312414611442,3.104711637142795e+30
25,21744.75,37.85498036008475,8410640000.0,-41999.209969879375,-334001.20996952057,4.15460973656911,2.4708717099099132e+30
26,21745.0,39.24415263168903,8410640000.0,-41995.084891993414,-333997.08489227295,3.9522581068734097,2.370169566107158e+30
26,21745.25,39.23952286300919,8410640000.0,-41991.0720813394,-333993.07208156586,4.7408869786645935,2.758193113696196e+30
26,21745.5,40.123530750175526,8410640000.0,-41986.96197555503,-333988.96197509766,4.6070558173045235,2.69315425992922e+30
26,21745.75,40.32715346094444,8410640000.0,-41982.76427107993,-333984.76427078247,4.84221922973781,2.807234601299618e+30
27,21746.0,40.37020632669705,8410640000.0,-41978.77323189848,-333980.77323150635,4.640053749735567,2.7092194053936404e+30
