YYYY DOY HR MN      V
2021 275 20 20   404.4
2021 275 20 25   404.8
2021 275 20 30   404.6
2021 275 20 35   402.5
2021 275 20 40   401.3
2021 275 20 45   402.6
2021 275 20 50   405.0
2021 275 20 55   407.2
2021 275 21  0   406.8
2021 275 21  5   404.4
2021 275 21 10   404.1
2021 275 21 15   402.4
2021 275 21 20   400.0
2021 275 21 25   402.1
2021 275 21 30   403.6
2021 275 21 35   403.4
2021 275 21 40   401.6
2021 275 21 45   400.3
2021 275 21 50   398.4
2021 275 21 55   400.3
2021 275 22  0   398.9
2021 275 22  5   400.0
2021 275 22 10   401.3
2021 275 22 15   400.3
2021 275 22 20   402.3
2021 275 22 25   403.4
2021 275 22 30   402.8
2021 275 22 35   404.4
2021 275 22 40   403.5
2021 275 22 45   404.3
2021 275 22 50   402.5
2021 275 22 55   404.2
2021 275 23  0   405.1
2021 275 23  5   406.0
2021 275 23 10   407.9
2021 275 23 15   408.4
2021 275 23 20   408.8
2021 275 23 25   410.6
2021 275 23 30   410.1
2021 275 23 35   407.2
2021 275 23 40   409.8
2021 275 23 45   410.3
2021 275 23 50   414.4
2021 275 23 55   410.5
2021 276  0  0   410.0
2021 276  0  5   411.2
2021 276  0 10   411.4
2021 276  0 15   411.6
2021 276  0 20   410.4
2021 276  0 25   414.2
2021 276  0 30   413.9
2021 276  0 35   415.4
2021 276  0 40   415.9
2021 276  0 45   414.7
2021 276  0 50   412.2
2021 276  0 55   413.8
2021 276  1  0   417.8
2021 276  1  5   414.4
2021 276  1 10   418.4
2021 276  1 15   419.4
2021 276  1 20   411.8
2021 276  1 25   414.8
2021 276  1 30   412.6
2021 276  1 35   416.1
2021 276  1 40   415.4
2021 276  1 45   414.1
2021 276  1 50   412.8
2021 276  1 55   420.1
2021 276  2  0   410.3
2021 276  2  5   411.8
2021 276  2 10   415.8
2021 276  2 15   420.2
2021 276  2 20   418.1
2021 276  2 25   413.7
2021 276  2 30   413.6
2021 276  2 35   412.8
2021 276  2 40   419.6
2021 276  2 45   417.8
2021 276  2 50   418.9
2021 276  2 55   415.9
2021 276  3  0   418.2
2021 276  3  5   418.9
2021 276  3 10   415.4
2021 276  3 15   414.3
2021 276  3 20   414.1
2021 276  3 25   408.2
2021 276  3 30   411.9
2021 276  3 35   410.6
2021 276  3 40   410.2
2021 276  3 45   409.8
2021 276  3 50   413.0
2021 276  3 55   415.3
2021 276  4  0   414.8
2021 276  4  5   414.8
2021 276  4 10   413.1
2021 276  4 15   414.6
2021 276  4 20   413.8
2021 276  4 25   414.3
2021 276  4 30   415.1
2021 276  4 35   417.4
2021 276  4 40   415.4
2021 276  4 45   413.5
2021 276  4 50   412.3
2021 276  4 55   410.8
2021 276  5  0   414.9
2021 276  5  5   419.7
2021 276  5 10   412.9
2021 276  5 15   411.1
2021 276  5 20   410.3
2021 276  5 25   410.6
2021 276  5 30   410.1
2021 276  5 35   409.9
2021 276  5 40   403.9
2021 276  5 45   402.5
2021 276  5 50   402.0
2021 276  5 55   402.0
2021 276  6  0   403.4
2021 276  6  5   401.0
2021 276  6 10   400.6
2021 276  6 15   399.9
2021 276  6 20   400.8
2021 276  6 25   400.4
2021 276  6 30   399.8
2021 276  6 35   399.3
2021 276  6 40   402.5
2021 276  6 45   400.5
2021 276  6 50   401.6
2021 276  6 55   406.6
2021 276  7  0   404.1
2021 276  7  5   401.2
2021 276  7 10   405.6
2021 276  7 15   408.1
2021 276  7 20   408.0
2021 276  7 25   408.6
2021 276  7 30   403.9
2021 276  7 35   405.6
2021 276  7 40   400.4
2021 276  7 45   399.6
2021 276  7 50   400.3
2021 276  7 55   400.8
2021 276  8  0   401.3
2021 276  8  5   401.0
2021 276  8 10   398.8
2021 276  8 15   398.9
2021 276  8 20   399.8
2021 276  8 25   400.5
2021 276  8 30   401.3
2021 276  8 35   403.3
2021 276  8 40   403.3
2021 276  8 45   404.3
2021 276  8 50   404.2
2021 276  8 55   402.6
2021 276  9  0   401.4
2021 276  9  5   400.1
2021 276  9 10   399.9
2021 276  9 15   400.1
2021 276  9 20   400.5
2021 276  9 25   400.8
2021 276  9 30   398.2
2021 276  9 35   394.0
2021 276  9 40   416.5
2021 276  9 45   425.6
2021 276  9 50   425.1
2021 276  9 55   421.6
2021 276 10  0   401.3
2021 276 10  5   394.0
2021 276 10 10   394.5
2021 276 10 15   395.4
2021 276 10 20   391.9
2021 276 10 25   393.3
2021 276 10 30   393.0
2021 276 10 35   394.9
2021 276 10 40   405.5
2021 276 10 45   398.1
2021 276 10 50   402.6
2021 276 10 55   405.2
2021 276 11  0   409.5
2021 276 11  5   403.2
2021 276 11 10   399.8
2021 276 11 15 99999.9
2021 276 11 20   399.4
2021 276 11 25   400.5
2021 276 11 30   401.9
2021 276 11 35   398.5
2021 276 11 40   399.2
2021 276 11 45   398.4
2021 276 11 50   395.2
2021 276 11 55   399.0
2021 276 12  0   401.2
2021 276 12  5   395.9
2021 276 12 10   391.2
2021 276 12 15   392.4
2021 276 12 20   390.8
2021 276 12 25   392.2
2021 276 12 30   392.7
2021 276 12 35   392.5
2021 276 12 40   391.3
2021 276 12 45   390.7
2021 276 12 50   391.9
2021 276 12 55   390.7
2021 276 13  0   391.0
2021 276 13  5   390.2
2021 276 13 10   388.6
2021 276 13 15   387.8
2021 276 13 20   387.4
2021 276 13 25   386.9
2021 276 13 30   388.5
2021 276 13 35   387.5
2021 276 13 40   387.8
2021 276 13 45   387.5
2021 276 13 50   385.8
2021 276 13 55   384.8
2021 276 14  0   383.7
2021 276 14  5   384.0
2021 276 14 10   385.4
2021 276 14 15   387.4
2021 276 14 20   386.2
2021 276 14 25 99999.9
2021 276 14 30 99999.9
2021 276 14 35 99999.9
2021 276 14 40   388.9
2021 276 14 45   387.9
2021 276 14 50   387.7
2021 276 14 55   385.4
2021 276 15  0   384.4
2021 276 15  5   383.7
2021 276 15 10   382.2
2021 276 15 15   381.4
2021 276 15 20   380.5
2021 276 15 25   381.1
2021 276 15 30   379.1
2021 276 15 35   379.2
2021 276 15 40   379.8
2021 276 15 45   382.7
2021 276 15 50   383.0
2021 276 15 55   380.7
2021 276 16  0   381.4
2021 276 16  5   382.5
2021 276 16 10   379.4
2021 276 16 15   381.1
2021 276 16 20   381.6
2021 276 16 25   379.6
2021 276 16 30   378.6
2021 276 16 35   377.5
2021 276 16 40   383.0
2021 276 16 45   383.1
2021 276 16 50   382.4
2021 276 16 55   383.0
2021 276 17  0   383.9
2021 276 17  5   383.9
2021 276 17 10   384.0
2021 276 17 15   383.9
2021 276 17 20   383.8
2021 276 17 25   384.1
2021 276 17 30   384.1
2021 276 17 35   385.6
2021 276 17 40   388.5
2021 276 17 45   389.1
2021 276 17 50   386.8
2021 276 17 55   389.9
2021 276 18  0   390.4
2021 276 18  5 99999.9
2021 276 18 10   395.7
2021 276 18 15 99999.9
2021 276 18 20   393.4
2021 276 18 25   394.4
2021 276 18 30   394.4
2021 276 18 35   398.3
2021 276 18 40   400.7
2021 276 18 45   394.5
2021 276 18 50   387.1
2021 276 18 55   387.4
2021 276 19  0   394.6
2021 276 19  5   394.6
2021 276 19 10   397.7
2021 276 19 15   399.2
2021 276 19 20   391.7
2021 276 19 25   391.7
2021 276 19 30   390.1
2021 276 19 35   391.4
2021 276 19 40   389.4
2021 276 19 45   387.1
2021 276 19 50   388.4
2021 276 19 55   389.4
2021 276 20  0   386.9
2021 276 20  5   390.6
2021 276 20 10   386.8
2021 276 20 15 99999.9
2021 276 20 20   384.8
2021 276 20 25   385.3
2021 276 20 30   384.1
2021 276 20 35   384.9
2021 276 20 40   385.9
2021 276 20 45   385.7
2021 276 20 50   384.8
2021 276 20 55   383.9
2021 276 21  0   383.8
2021 276 21  5   384.6
2021 276 21 10   383.9
2021 276 21 15   383.6
2021 276 21 20   383.3
2021 276 21 25   384.4
2021 276 21 30   384.1
2021 276 21 35   383.1
2021 276 21 40   381.8
2021 276 21 45   381.2
2021 276 21 50   380.6
2021 276 21 55   380.1
2021 276 22  0   380.3
2021 276 22  5   379.4
2021 276 22 10   380.6
2021 276 22 15   380.3
2021 276 22 20   379.0
2021 276 22 25   376.9
2021 276 22 30   377.5
2021 276 22 35   379.5
2021 276 22 40   379.8
2021 276 22 45   377.3
2021 276 22 50   377.4
2021 276 22 55   380.5
2021 276 23  0   376.9
2021 276 23  5   375.3
2021 276 23 10   375.5
2021 276 23 15   375.0
2021 276 23 20   372.1
2021 276 23 25   374.1
2021 276 23 30   374.1
2021 276 23 35   371.4
2021 276 23 40   367.6
2021 276 23 45   367.1
2021 276 23 50   374.0
2021 276 23 55   377.3
2021 277  0  0   376.0
2021 277  0  5   375.3
2021 277  0 10 99999.9
2021 277  0 15   374.8
2021 277  0 20   375.6
2021 277  0 25   375.2
2021 277  0 30   374.4
2021 277  0 35   375.6
2021 277  0 40   376.0
2021 277  0 45   375.6
2021 277  0 50   374.3
2021 277  0 55   378.5
2021 277  1  0   381.0
2021 277  1  5   382.2
2021 277  1 10   381.0
2021 277  1 15   378.8
2021 277  1 20   377.3
2021 277  1 25   364.8
2021 277  1 30   363.6
2021 277  1 35   369.1
2021 277  1 40   375.9
2021 277  1 45   373.5
2021 277  1 50   366.4
2021 277  1 55   366.5
2021 277  2  0   366.4
2021 277  2  5   364.8
2021 277  2 10   364.0
2021 277  2 15   366.2
2021 277  2 20   364.6
2021 277  2 25   364.9
2021 277  2 30   364.2
2021 277  2 35   363.3
2021 277  2 40   363.1
