YYYY DOY HR MN V
2021 287 0 0 383.2
2021 287 0 5 382.9
2021 287 0 10 392.2
2021 287 0 15 405.9
2021 287 0 20 392.0
2021 287 0 25 402.5
2021 287 0 30 402.5
2021 287 0 35 400.8
2021 287 0 40 401.1
2021 287 0 45 396.0
2021 287 0 50 396.3
2021 287 0 55 396.4
2021 287 1 0 395.1
2021 287 1 5 392.9
2021 287 1 10 394.1
2021 287 1 15 392.5
2021 287 1 20 392.9
2021 287 1 25 392.6
2021 287 1 30 99999.9
2021 287 1 35 390.8
2021 287 1 40 392.1
2021 287 1 45 396.3
2021 287 1 50 397.8
2021 287 1 55 399.7
2021 287 2 0 398.6
2021 287 2 5 398.6
2021 287 2 10 396.5
2021 287 2 15 394.2
2021 287 2 20 394.0
2021 287 2 25 390.9
2021 287 2 30 392.6
2021 287 2 35 393.7
2021 287 2 40 392.0
2021 287 2 45 392.7
2021 287 2 50 397.4
2021 287 2 55 393.4
2021 287 3 0 396.6
2021 287 3 5 397.1
2021 287 3 10 396.1
2021 287 3 15 401.9
2021 287 3 20 402.6
2021 287 3 25 402.3
2021 287 3 30 398.6
2021 287 3 35 398.1
2021 287 3 40 396.5
2021 287 3 45 391.1
2021 287 3 50 393.8
2021 287 3 55 392.4
2021 287 4 0 391.8
2021 287 4 5 390.5
2021 287 4 10 393.3
2021 287 4 15 392.1
2021 287 4 20 392.5
2021 287 4 25 390.7
2021 287 4 30 393.7
2021 287 4 35 394.4
2021 287 4 40 401.2
2021 287 4 45 400.2
2021 287 4 50 400.5
2021 287 4 55 398.0
2021 287 5 0 395.6
2021 287 5 5 395.9
2021 287 5 10 396.2
2021 287 5 15 396.6
2021 287 5 20 397.3
2021 287 5 25 394.0
2021 287 5 30 395.2
2021 287 5 35 396.6
2021 287 5 40 396.2
2021 287 5 45 397.0
2021 287 5 50 397.0
2021 287 5 55 398.4
2021 287 6 0 400.3
2021 287 6 5 400.4
2021 287 6 10 400.3
2021 287 6 15 397.6
2021 287 6 20 398.0
2021 287 6 25 396.6
2021 287 6 30 399.7
2021 287 6 35 401.3
2021 287 6 40 393.9
2021 287 6 45 391.4
2021 287 6 50 403.7
2021 287 6 55 400.5
2021 287 7 0 393.8
2021 287 7 5 398.4
2021 287 7 10 400.6
2021 287 7 15 398.6
2021 287 7 20 393.6
2021 287 7 25 99999.9
2021 287 7 30 99999.9
2021 287 7 35 396.4
2021 287 7 40 393.3
2021 287 7 45 394.1
2021 287 7 50 391.6
2021 287 7 55 392.6
2021 287 8 0 392.4
2021 287 8 5 392.4
2021 287 8 10 391.7
2021 287 8 15 393.0
2021 287 8 20 391.9
2021 287 8 25 393.6
2021 287 8 30 392.6
2021 287 8 35 391.8
2021 287 8 40 391.6
2021 287 8 45 391.4
2021 287 8 50 391.8
2021 287 8 55 392.9
2021 287 9 0 391.6
2021 287 9 5 392.0
2021 287 9 10 388.6
2021 287 9 15 388.4
2021 287 9 20 99999.9
2021 287 9 25 99999.9
2021 287 9 30 393.2
2021 287 9 35 393.9
2021 287 9 40 393.0
2021 287 9 45 390.4
2021 287 9 50 388.8
2021 287 9 55 390.2
2021 287 10 0 389.0
2021 287 10 5 387.3
2021 287 10 10 386.5
2021 287 10 15 387.2
2021 287 10 20 385.2
2021 287 10 25 379.3
2021 287 10 30 374.5
2021 287 10 35 371.2
2021 287 10 40 369.4
2021 287 10 45 368.8
2021 287 10 50 369.2
2021 287 10 55 370.2
2021 287 11 0 369.8
2021 287 11 5 372.5
2021 287 11 10 372.3
2021 287 11 15 374.0
2021 287 11 20 374.5
2021 287 11 25 380.3
2021 287 11 30 380.8
2021 287 11 35 381.1
2021 287 11 40 381.9
2021 287 11 45 381.8
2021 287 11 50 382.6
2021 287 11 55 382.9
2021 287 12 0 380.1
