YYYY DOY HR MN V
2021 285 20 20 462.7
2021 285 20 25 463.7
2021 285 20 30 464.2
2021 285 20 35 464.9
2021 285 20 40 466.0
2021 285 20 45 467.2
2021 285 20 50 462.8
2021 285 20 55 461.0
2021 285 21 0 458.9
2021 285 21 5 456.8
2021 285 21 10 455.0
2021 285 21 15 99999.9
2021 285 21 20 452.3
2021 285 21 25 453.1
2021 285 21 30 451.0
2021 285 21 35 452.1
2021 285 21 40 452.1
2021 285 21 45 451.8
2021 285 21 50 448.8
2021 285 21 55 443.5
2021 285 22 0 443.8
2021 285 22 5 445.4
2021 285 22 10 449.6
2021 285 22 15 441.5
2021 285 22 20 443.6
2021 285 22 25 449.8
2021 285 22 30 455.0
2021 285 22 35 460.4
2021 285 22 40 458.1
2021 285 22 45 461.0
2021 285 22 50 463.2
2021 285 22 55 470.9
2021 285 23 0 466.2
2021 285 23 5 457.0
2021 285 23 10 456.8
2021 285 23 15 458.2
2021 285 23 20 461.9
2021 285 23 25 461.7
2021 285 23 30 456.3
2021 285 23 35 455.0
2021 285 23 40 460.6
2021 285 23 45 459.1
2021 285 23 50 458.2
2021 285 23 55 456.9
