YYYY DOY HR MN V
2021 277 0 0 376.0
2021 277 0 5 375.3
2021 277 0 10 99999.9
2021 277 0 15 374.8
2021 277 0 20 375.6
2021 277 0 25 375.2
2021 277 0 30 374.4
2021 277 0 35 375.6
2021 277 0 40 376.0
2021 277 0 45 375.6
2021 277 0 50 374.3
2021 277 0 55 378.5
2021 277 1 0 381.0
2021 277 1 5 382.2
2021 277 1 10 381.0
2021 277 1 15 378.8
2021 277 1 20 377.3
2021 277 1 25 364.8
2021 277 1 30 363.6
2021 277 1 35 369.1
2021 277 1 40 375.9
2021 277 1 45 373.5
2021 277 1 50 366.4
2021 277 1 55 366.5
2021 277 2 0 366.4
2021 277 2 5 364.8
2021 277 2 10 364.0
2021 277 2 15 366.2
2021 277 2 20 364.6
2021 277 2 25 364.9
2021 277 2 30 364.2
2021 277 2 35 363.3
2021 277 2 40 363.1
2021 277 2 45 364.0
2021 277 2 50 364.4
2021 277 2 55 363.9
2021 277 3 0 365.3
2021 277 3 5 364.5
2021 277 3 10 363.6
2021 277 3 15 360.7
2021 277 3 20 360.4
2021 277 3 25 362.4
2021 277 3 30 362.9
2021 277 3 35 363.4
2021 277 3 40 364.8
2021 277 3 45 363.6
2021 277 3 50 362.8
2021 277 3 55 361.8
2021 277 4 0 363.3
2021 277 4 5 99999.9
2021 277 4 10 99999.9
2021 277 4 15 99999.9
2021 277 4 20 99999.9
2021 277 4 25 363.2
2021 277 4 30 363.6
2021 277 4 35 366.9
2021 277 4 40 366.5
2021 277 4 45 366.6
2021 277 4 50 364.7
2021 277 4 55 362.9
2021 277 5 0 367.1
2021 277 5 5 365.7
2021 277 5 10 367.1
2021 277 5 15 366.5
2021 277 5 20 366.5
2021 277 5 25 367.1
2021 277 5 30 99999.9
2021 277 5 35 369.2
2021 277 5 40 368.1
2021 277 5 45 367.5
2021 277 5 50 364.8
2021 277 5 55 364.8
2021 277 6 0 365.2
2021 277 6 5 366.4
2021 277 6 10 364.7
2021 277 6 15 364.3
2021 277 6 20 369.6
2021 277 6 25 363.3
2021 277 6 30 364.9
2021 277 6 35 363.0
2021 277 6 40 360.1
2021 277 6 45 359.4
2021 277 6 50 358.5
2021 277 6 55 359.4
2021 277 7 0 361.6
2021 277 7 5 99999.9
2021 277 7 10 361.3
2021 277 7 15 99999.9
2021 277 7 20 360.3
2021 277 7 25 361.2
2021 277 7 30 99999.9
2021 277 7 35 361.2
2021 277 7 40 360.6
2021 277 7 45 363.3
2021 277 7 50 365.1
2021 277 7 55 364.6
2021 277 8 0 361.5
2021 277 8 5 361.0
2021 277 8 10 359.6
2021 277 8 15 358.9
2021 277 8 20 359.7
2021 277 8 25 359.8
2021 277 8 30 361.0
2021 277 8 35 99999.9
2021 277 8 40 361.1
2021 277 8 45 360.9
2021 277 8 50 356.3
2021 277 8 55 357.1
2021 277 9 0 359.9
2021 277 9 5 357.5
2021 277 9 10 355.6
2021 277 9 15 349.6
2021 277 9 20 348.8
2021 277 9 25 350.9
2021 277 9 30 348.1
2021 277 9 35 346.8
2021 277 9 40 348.5
2021 277 9 45 348.4
2021 277 9 50 348.8
2021 277 9 55 347.9
2021 277 10 0 346.6
2021 277 10 5 346.0
2021 277 10 10 354.5
2021 277 10 15 365.0
2021 277 10 20 365.4
2021 277 10 25 363.0
2021 277 10 30 361.1
2021 277 10 35 359.4
2021 277 10 40 360.8
2021 277 10 45 358.7
2021 277 10 50 354.0
2021 277 10 55 353.2
2021 277 11 0 353.8
2021 277 11 5 354.4
2021 277 11 10 354.5
2021 277 11 15 353.9
2021 277 11 20 353.8
2021 277 11 25 353.7
2021 277 11 30 355.2
2021 277 11 35 355.6
2021 277 11 40 356.5
2021 277 11 45 358.4
2021 277 11 50 357.3
2021 277 11 55 354.6
2021 277 12 0 356.5
2021 277 12 5 356.6
2021 277 12 10 353.3
2021 277 12 15 351.0
2021 277 12 20 355.9
2021 277 12 25 355.0
2021 277 12 30 356.1
2021 277 12 35 354.1
2021 277 12 40 99999.9
2021 277 12 45 99999.9
2021 277 12 50 99999.9
2021 277 12 55 99999.9
2021 277 13 0 99999.9
2021 277 13 5 99999.9
2021 277 13 10 99999.9
2021 277 13 15 354.4
2021 277 13 20 352.9
2021 277 13 25 353.6
2021 277 13 30 354.6
2021 277 13 35 352.0
2021 277 13 40 352.0
2021 277 13 45 352.8
2021 277 13 50 350.2
2021 277 13 55 351.5
2021 277 14 0 351.5
2021 277 14 5 350.6
2021 277 14 10 348.4
2021 277 14 15 348.8
2021 277 14 20 349.7
2021 277 14 25 350.8
2021 277 14 30 348.0
2021 277 14 35 347.3
2021 277 14 40 345.4
2021 277 14 45 343.0
2021 277 14 50 345.1
2021 277 14 55 343.8
2021 277 15 0 342.8
2021 277 15 5 342.4
2021 277 15 10 99999.9
2021 277 15 15 338.5
2021 277 15 20 338.8
2021 277 15 25 343.3
2021 277 15 30 341.4
2021 277 15 35 339.5
2021 277 15 40 340.4
2021 277 15 45 341.4
2021 277 15 50 341.2
2021 277 15 55 341.3
2021 277 16 0 339.9
2021 277 16 5 332.4
2021 277 16 10 334.5
2021 277 16 15 333.8
2021 277 16 20 99999.9
2021 277 16 25 332.9
2021 277 16 30 332.2
2021 277 16 35 331.7
2021 277 16 40 332.8
2021 277 16 45 332.4
2021 277 16 50 334.1
2021 277 16 55 334.1
2021 277 17 0 333.2
2021 277 17 5 333.3
2021 277 17 10 334.9
2021 277 17 15 336.1
2021 277 17 20 332.3
2021 277 17 25 334.8
2021 277 17 30 336.7
2021 277 17 35 335.8
2021 277 17 40 99999.9
2021 277 17 45 99999.9
2021 277 17 50 99999.9
2021 277 17 55 337.0
2021 277 18 0 99999.9
2021 277 18 5 99999.9
2021 277 18 10 340.3
2021 277 18 15 99999.9
2021 277 18 20 339.3
2021 277 18 25 99999.9
2021 277 18 30 337.4
2021 277 18 35 336.7
2021 277 18 40 332.4
2021 277 18 45 335.9
2021 277 18 50 336.1
2021 277 18 55 334.1
2021 277 19 0 330.8
2021 277 19 5 331.1
2021 277 19 10 331.9
2021 277 19 15 330.4
2021 277 19 20 99999.9
2021 277 19 25 99999.9
2021 277 19 30 330.6
2021 277 19 35 330.4
2021 277 19 40 330.2
2021 277 19 45 330.2
2021 277 19 50 330.3
2021 277 19 55 330.6
2021 277 20 0 329.9
2021 277 20 5 329.4
2021 277 20 10 327.2
2021 277 20 15 326.5
2021 277 20 20 328.4
2021 277 20 25 328.2
2021 277 20 30 99999.9
2021 277 20 35 325.9
2021 277 20 40 323.8
2021 277 20 45 322.9
2021 277 20 50 323.0
2021 277 20 55 322.1
2021 277 21 0 321.8
2021 277 21 5 323.3
2021 277 21 10 324.1
2021 277 21 15 322.1
2021 277 21 20 321.5
2021 277 21 25 99999.9
2021 277 21 30 99999.9
2021 277 21 35 324.3
2021 277 21 40 99999.9
2021 277 21 45 320.0
2021 277 21 50 99999.9
2021 277 21 55 99999.9
2021 277 22 0 99999.9
2021 277 22 5 323.3
2021 277 22 10 99999.9
2021 277 22 15 99999.9
2021 277 22 20 323.5
2021 277 22 25 99999.9
2021 277 22 30 99999.9
2021 277 22 35 323.0
2021 277 22 40 99999.9
2021 277 22 45 323.5
2021 277 22 50 331.2
2021 277 22 55 324.8
2021 277 23 0 320.0
2021 277 23 5 321.0
2021 277 23 10 332.4
2021 277 23 15 332.3
2021 277 23 20 333.0
2021 277 23 25 99999.9
2021 277 23 30 332.0
2021 277 23 35 332.0
2021 277 23 40 99999.9
2021 277 23 45 333.2
2021 277 23 50 99999.9
2021 277 23 55 99999.9
