x, y
1.909289001,84.96963565
1.996375037,105.3851622
2.087433221,117.6891006
2.158442262,132.8888971
2.219458216,145.1623926
2.333666226,157.696371
2.399635501,173.2147848
2.537221328,190.2603178
2.758531618,217.218269
3.066781316,250.7495469
3.371669803,287.8631851
3.72759372,330.4700422
4.075392966,369.0531117
4.530794182,412.1408354
5.093564286,455.2047079
5.662740164,483.7076675
6.366109318,513.9953597
7.19685673,525.4731784
8.181499907,540.1815507
9.510606922,555.3016209
12.08716513,570.8449127
16.42465924,596.6241729
22.82199001,616.7197803
33.34282717,623.5676201
59.87419803,644.5707418
84.59813225,641.0217263
99.44402464,648.1394063
