x, y
2.503320053,86.81318681
2.519920319,88.79120879
2.523240372,91.86813187
2.533200531,92.74725275
2.536520584,94.28571429
2.543160691,94.94505495
2.559760956,96.92307692
2.563081009,100
2.576361222,100.8791209
2.583001328,102.8571429
2.592961487,104.516129
2.592961487,103.2967033
2.609561753,107.7419355
2.612881806,109.6774194
2.619521912,112.2580645
2.629482072,113.2258065
2.646082337,116.1290323
2.652722444,119.3548387
2.666002656,120.9677419
2.682602922,123.2258065
2.689243028,125.8064516
2.719123506,128.3870968
2.729083665,133.5483871
2.732403718,130.3225806
2.742363878,135.483871
2.762284197,137.4193548
2.775564409,140.6451613
2.792164675,142.5806452
2.798804781,144.1964286
2.8187251,146.1290323
2.828685259,148.2142857
2.835325365,149.3548387
2.841965471,152.2321429
2.855245684,154.4642857
2.858565737,152.9032258
2.875166003,157.1428571
2.878486056,158.0357143
2.878486056,155.483871
2.881806109,159.375
2.891766268,158.3870968
2.905046481,162.5
2.91500664,165.625
2.934926959,169.6428571
2.958167331,174.1071429
2.958167331,174.1071429
2.971447543,176.3392857
3.007968127,179.4642857
3.027888446,183.0357143
3.051128818,186.6071429
3.077689243,189.7321429
3.107569721,189.2857143
3.140770252,194.6428571
3.140770252,194.6428571
3.164010624,197.7678571
3.164010624,197.7678571
3.190571049,200.8928571
3.197211155,200
3.213811421,203.0674847
3.217131474,203.125
3.237051793,204.9079755
3.260292165,210.4294479
3.280212483,213.4969325
3.28685259,214.1104294
3.320053121,217.1779141
3.343293493,222.0858896
3.359893758,222.6993865
3.373173971,225.7668712
3.386454183,227.607362
3.39309429,229.4478528
3.413014608,230.6748466
3.422974768,231.2883436
3.432934927,233.1288344
3.446215139,234.9693252
3.456175299,235.5828221
3.469455511,236.809816
3.479415671,238.6503067
3.48937583,239.2638037
3.505976096,239.2638037
3.519256308,242.3312883
3.539176627,244.1717791
3.585657371,249.0797546
3.615537849,252.7607362
3.652058433,254.601227
3.665338645,258.8957055
3.695219124,260.7361963
3.718459495,263.190184
3.748339973,263.803681
3.774900398,265.6441718
3.818061089,269.3251534
3.834661355,273.6196319
3.874501992,277.3006135
3.907702523,280.3680982
3.937583001,282.208589
3.974103586,287.1165644
3.994023904,289.5705521
4.027224436,291.4110429
4.06374502,296.3190184
4.086985392,298.1595092
4.113545817,302.4539877
4.146746348,306.1349693
4.173306773,307.9754601
4.216467463,313.4453782
4.246347942,318.487395
4.256308101,321.0084034
4.269588313,321.8487395
4.27622842,328.5714286
4.306108898,330.2521008
4.322709163,331.9327731
4.345949535,337.8151261
4.379150066,337.8151261
4.399070385,347.8991597
4.435590969,352.1008403
4.458831341,356.302521
4.488711819,359.6638655
4.53187251,363.8655462
4.551792829,368.907563
4.581673307,373.1092437
4.608233732,376.4705882
4.63811421,379.8319328
4.658034529,383.1932773
4.6812749,390.7563025
4.724435591,397.4789916
4.754316069,400.8403361
4.784196547,405.8823529
4.833997344,410.9243697
4.85059761,416.8067227
4.887118194,421.0084034
4.907038513,423.5294118
4.930278884,426.8907563
4.956839309,431.092437
4.973439575,436.9747899
