x, y
1.9047619047619047, 60.8695652173913
2.401656314699793, 28.26086956521739
3.4782608695652173, 64.13043478260869
4.01656314699793, 33.69565217391304
5.424430641821946, 32.608695652173914
5.817805383022774, 78.26086956521739
4.513457556935818, 54.347826086956516
3.5196687370600412, 150
8.612836438923395, 93.47826086956522
3.8095238095238093, 400
8.426501035196686, 150
9.523809523809524, 156.52173913043478
8.923395445134576, 367.39130434782606
8.115942028985508, 431.52173913043475
8.115942028985508, 431.52173913043475
6.024844720496894, 395.65217391304344
6.728778467908903, 221.7391304347826
