Epoch	vel
2021-10-01 00:00:00	376.5974256537417
2021-10-01 01:00:00	377.8442366221183
2021-10-01 02:00:00	376.73066147336044
2021-10-01 03:00:00	373.9804034980988
2021-10-01 04:00:00	377.9009984356234
2021-10-01 05:00:00	382.3930252650623
2021-10-01 06:00:00	373.2302058907307
2021-10-01 07:00:00	364.77648399433775
2021-10-01 08:00:00	358.0381026636277
2021-10-01 09:00:00	356.6208738891756
2021-10-01 10:00:00	359.98986699072253
2021-10-01 11:00:00	357.7395902640819
2021-10-01 12:00:00	353.71914062453163
2021-10-01 13:00:00	334.96040684763636
2021-10-01 14:00:00	325.14157051925844
2021-10-01 15:00:00	345.80106063067154
2021-10-01 16:00:00	352.75543167761265
2021-10-01 17:00:00	343.775537788144
2021-10-01 18:00:00	333.752977666186
2021-10-01 19:00:00	323.2758150668637
2021-10-01 20:00:00	317.7727800415505
2021-10-01 21:00:00	313.3249686093017
2021-10-01 22:00:00	312.3495740663228
2021-10-01 23:00:00	309.5555771104646
2021-10-02 00:00:00	304.01460028620187
2021-10-02 01:00:00	301.3893707473955
2021-10-02 02:00:00	300.4596418327318
2021-10-02 03:00:00	299.0820103628071
2021-10-02 04:00:00	297.63542877159745
2021-10-02 05:00:00	296.19045799525964
2021-10-02 06:00:00	296.40298056795706
2021-10-02 07:00:00	299.9166773941499
2021-10-02 08:00:00	306.9528301696853
2021-10-02 09:00:00	316.6653587890842
2021-10-02 10:00:00	326.82899079719385
2021-10-02 11:00:00	337.1112432535342
2021-10-02 12:00:00	347.5907405224186
2021-10-02 13:00:00	356.93218184889787
2021-10-02 14:00:00	363.1996988773321
2021-10-02 15:00:00	367.7602611249994
2021-10-02 16:00:00	370.64216066008856
2021-10-02 17:00:00	374.7676123731701
2021-10-02 18:00:00	379.33417316070904
2021-10-02 19:00:00	389.9816791695878
2021-10-02 20:00:00	397.6540630298585
2021-10-02 21:00:00	393.1971501197371
2021-10-02 22:00:00	379.4084452957329
2021-10-02 23:00:00	353.74828366989124
2021-10-03 00:00:00	335.3789084768571
2021-10-03 01:00:00	320.5344176335705
2021-10-03 02:00:00	322.32415954914836
2021-10-03 03:00:00	326.8490223318399
2021-10-03 04:00:00	337.72283701300523
2021-10-03 05:00:00	347.9964556477696
2021-10-03 06:00:00	357.2741934351736
2021-10-03 07:00:00	364.0959526480455
2021-10-03 08:00:00	369.34767989546276
2021-10-03 09:00:00	368.8733540704876
2021-10-03 10:00:00	366.8557980092962
2021-10-03 11:00:00	359.1054425220116
2021-10-03 12:00:00	350.0180214223745
2021-10-03 13:00:00	337.98189312406527
2021-10-03 14:00:00	325.9921547273917
2021-10-03 15:00:00	314.0409956876897
2021-10-03 16:00:00	307.27796922155704
2021-10-03 17:00:00	302.0925567403764
2021-10-03 18:00:00	304.965560427802
2021-10-03 19:00:00	308.8479109076775
2021-10-03 20:00:00	315.79232469049185
2021-10-03 21:00:00	320.49531384819807
2021-10-03 22:00:00	322.78844762862064
2021-10-03 23:00:00	323.82430675358995
2021-10-04 00:00:00	324.3611697118034
2021-10-04 01:00:00	324.8217361008492
2021-10-04 02:00:00	324.993852641655
2021-10-04 03:00:00	323.90330582240506
2021-10-04 04:00:00	321.99901969724255
2021-10-04 05:00:00	318.9609234725082
2021-10-04 06:00:00	315.1401767026791
2021-10-04 07:00:00	310.90134737670945
2021-10-04 08:00:00	307.75048430846647
2021-10-04 09:00:00	305.32645376436375
2021-10-04 10:00:00	307.212958239328
2021-10-04 11:00:00	310.4102474426827
2021-10-04 12:00:00	316.0020410317585
2021-10-04 13:00:00	321.14460902326033
2021-10-04 14:00:00	325.9720803870797
2021-10-04 15:00:00	329.3304874498161
2021-10-04 16:00:00	332.5007791867835
2021-10-04 17:00:00	337.884688876761
2021-10-04 18:00:00	343.998076143082
2021-10-04 19:00:00	351.90008631293665
2021-10-04 20:00:00	358.17748379748684
2021-10-04 21:00:00	362.9771750629561
2021-10-04 22:00:00	365.54755749303854
2021-10-04 23:00:00	367.4048889353314
2021-10-05 00:00:00	364.84384372309455
2021-10-05 01:00:00	361.7437332137619
2021-10-05 02:00:00	356.921286451375
2021-10-05 03:00:00	352.87813563830775
2021-10-05 04:00:00	349.7512479414106
2021-10-05 05:00:00	349.38807943631093
2021-10-05 06:00:00	350.24583105610185
2021-10-05 07:00:00	354.9330207879181
2021-10-05 08:00:00	360.3519258805539
2021-10-05 09:00:00	368.0164995605532
2021-10-05 10:00:00	373.834579521396
2021-10-05 11:00:00	376.83090499592237
2021-10-05 12:00:00	377.2549722467266
2021-10-05 13:00:00	376.16527691454377
2021-10-05 14:00:00	371.160793449288
2021-10-05 15:00:00	366.0082013499064
2021-10-05 16:00:00	365.21276548914904
2021-10-05 17:00:00	368.35338093343887
2021-10-05 18:00:00	379.4322511105986
2021-10-05 19:00:00	388.8050814245559
2021-10-05 20:00:00	396.86686632639777
2021-10-05 21:00:00	395.7515444261049
2021-10-05 22:00:00	392.2208699994464
2021-10-05 23:00:00	385.42024597822734
2021-10-06 00:00:00	379.3375642419789
2021-10-06 01:00:00	375.2217452239302
2021-10-06 02:00:00	370.0451955852346
2021-10-06 03:00:00	363.81380827378393
2021-10-06 04:00:00	358.8500402626826
2021-10-06 05:00:00	354.34242313617636
2021-10-06 06:00:00	354.2405594753111
2021-10-06 07:00:00	354.89587400828367
2021-10-06 08:00:00	357.9720644219597
2021-10-06 09:00:00	360.5660055198066
2021-10-06 10:00:00	362.53947297563144
2021-10-06 11:00:00	363.60993676799774
2021-10-06 12:00:00	364.23826598655455
