year	day	hr	v
2021	274	21	4.9213e+02
2021	274	22	4.6266e+02
2021	274	23	4.5623e+02
2021	275	0	4.5472e+02
2021	275	1	4.4634e+02
2021	275	2	4.3874e+02
2021	275	3	4.4012e+02
2021	275	4	4.4017e+02
2021	275	5	4.2676e+02
2021	275	6	4.3486e+02
2021	275	7	4.2819e+02
2021	275	8	4.3814e+02
2021	275	9	4.3818e+02
2021	275	10	4.3380e+02
2021	275	11	4.2020e+02
2021	275	12	4.1093e+02
2021	275	13	4.1958e+02
2021	275	14	3.9269e+02
2021	275	15	4.2089e+02
2021	275	16	4.2299e+02
2021	275	17	4.0936e+02
2021	275	18	4.0874e+02
2021	275	19	4.0412e+02
2021	275	20	4.0052e+02
2021	275	21	4.0008e+02
2021	275	22	4.0465e+02
2021	275	23	4.0814e+02
2021	276	0	4.0796e+02
2021	276	1	3.9942e+02
2021	276	2	4.0139e+02
2021	276	3	4.1150e+02
2021	276	4	3.9931e+02
2021	276	5	3.9115e+02
2021	276	6	3.9960e+02
2021	276	7	3.9078e+02
2021	276	8	3.9620e+02
2021	276	9	3.8414e+02
2021	276	10	3.8844e+02
2021	276	11	3.8255e+02
2021	276	12	3.8012e+02
2021	276	13	3.8256e+02
2021	276	14	3.7398e+02
2021	276	15	3.7574e+02
2021	276	16	3.7774e+02
2021	276	17	3.9362e+02
2021	276	18	3.8525e+02
2021	276	19	3.7453e+02
2021	276	20	3.7506e+02
2021	276	21	3.6874e+02
2021	276	22	3.5564e+02
2021	276	23	3.6932e+02
2021	277	0	3.6464e+02
2021	277	1	3.5903e+02
2021	277	2	3.5226e+02
2021	277	3	3.5951e+02
2021	277	4	3.6379e+02
2021	277	5	3.5436e+02
2021	277	6	3.5452e+02
2021	277	8	3.4787e+02
2021	277	9	3.3904e+02
2021	277	10	3.4661e+02
2021	277	11	3.4696e+02
2021	277	12	3.4518e+02
2021	277	13	3.4089e+02
2021	277	14	3.3437e+02
2021	277	15	3.3107e+02
2021	277	16	3.2833e+02
2021	277	17	3.3170e+02
2021	277	18	3.2613e+02
2021	277	19	3.2811e+02
2021	277	20	3.1676e+02
2021	277	21	3.2787e+02
2021	277	22	3.1981e+02
2021	277	23	3.1952e+02
2021	278	0	3.1444e+02
2021	278	1	3.1962e+02
2021	278	2	3.0760e+02
2021	278	3	3.0336e+02
2021	278	4	3.0205e+02
2021	278	5	3.0186e+02
2021	278	6	2.9489e+02
2021	278	7	2.8913e+02
2021	278	8	2.8581e+02
2021	278	9	2.8497e+02
2021	278	10	2.8623e+02
2021	278	11	2.8511e+02
2021	278	12	2.8613e+02
2021	278	13	2.8811e+02
2021	278	14	3.0447e+02
2021	278	15	3.0712e+02
2021	278	16	3.0048e+02
2021	278	17	2.9744e+02
2021	278	18	2.9639e+02
2021	278	19	2.9259e+02
2021	278	20	2.9267e+02
2021	278	21	3.0249e+02
2021	278	22	3.0602e+02
2021	278	23	3.0274e+02
2021	279	0	2.9939e+02
2021	279	1	3.0259e+02
2021	279	2	3.1775e+02
2021	279	3	3.1579e+02
2021	279	4	3.1879e+02
2021	279	5	3.1676e+02
2021	279	6	3.3373e+02
2021	279	7	3.2567e+02
2021	279	8	3.1291e+02
2021	279	9	3.2334e+02
2021	279	10	3.2820e+02
2021	279	11	3.2993e+02
2021	279	12	3.2730e+02
2021	279	13	3.2295e+02
2021	279	14	3.2542e+02
2021	279	15	3.2165e+02
2021	279	16	3.1836e+02
2021	279	17	3.2639e+02
2021	279	18	3.1789e+02
2021	279	19	3.1138e+02
2021	279	20	3.1091e+02
2021	279	21	3.0851e+02
2021	279	22	3.0166e+02
2021	279	23	2.9630e+02
2021	280	0	2.9924e+02
2021	280	1	3.0375e+02
2021	280	2	2.8624e+02
2021	280	3	3.0447e+02
2021	280	4	3.2541e+02
2021	280	5	3.3800e+02
2021	280	6	3.3482e+02
2021	280	7	3.4162e+02
2021	280	8	3.3033e+02
2021	280	9	3.2648e+02
2021	280	10	3.1722e+02
2021	280	11	3.3148e+02
2021	280	13	3.1497e+02
2021	280	14	3.2180e+02
2021	280	15	3.1460e+02
2021	280	16	3.1746e+02
2021	280	17	3.1006e+02
2021	280	18	3.0627e+02
2021	280	19	3.1357e+02
2021	280	20	3.0885e+02
2021	280	21	3.1130e+02
2021	280	22	3.0965e+02
2021	280	23	3.0832e+02
2021	281	0	3.0257e+02
2021	281	1	3.0664e+02
2021	281	2	3.0679e+02
2021	281	3	3.0102e+02
2021	281	4	3.0094e+02
2021	281	5	3.0048e+02
2021	281	6	3.0083e+02
2021	281	7	2.9328e+02
2021	281	8	2.9622e+02
2021	281	9	2.8759e+02
2021	281	10	2.9067e+02
2021	281	11	2.8806e+02
2021	281	12	2.8770e+02
2021	281	13	2.9152e+02
2021	281	14	2.8993e+02
2021	281	15	2.8776e+02
2021	281	16	2.8290e+02
2021	281	17	2.8592e+02
2021	281	18	2.8806e+02
2021	281	19	2.8640e+02
2021	281	20	2.8342e+02
2021	281	21	2.8806e+02
2021	281	22	2.8424e+02
2021	281	23	2.8616e+02
2021	282	0	2.8635e+02
2021	282	1	2.8621e+02
2021	282	2	2.8165e+02
2021	282	3	2.8486e+02
2021	282	4	2.8718e+02
2021	282	5	2.9353e+02
2021	282	6	2.9213e+02
2021	282	7	2.8627e+02
2021	282	8	2.7876e+02
2021	282	9	2.6996e+02
2021	282	10	2.8781e+02
2021	282	11	3.0254e+02
2021	282	12	2.9535e+02
2021	282	13	2.9880e+02
2021	282	14	2.9680e+02
2021	282	15	2.9604e+02
2021	282	16	2.9436e+02
2021	282	17	2.9133e+02
2021	282	18	2.9182e+02
2021	282	19	2.9244e+02
2021	282	20	2.9181e+02
2021	282	21	2.9174e+02
2021	282	22	2.9666e+02
2021	282	23	2.9566e+02
2021	283	0	2.9764e+02
2021	283	1	2.9889e+02
2021	283	2	3.0148e+02
2021	283	3	0
2021	283	4	3.0287e+02
2021	283	5	3.0386e+02
2021	283	6	3.0174e+02
2021	283	7	2.9997e+02
2021	283	8	2.9573e+02
2021	283	9	2.9758e+02
2021	283	10	2.9539e+02
2021	283	11	2.9428e+02
2021	283	12	2.9646e+02
2021	283	13	3.0993e+02
2021	283	14	3.1269e+02
2021	283	15	3.0658e+02
2021	283	16	3.0405e+02
2021	283	18	3.0924e+02
2021	283	19	3.0994e+02
2021	283	20	3.2945e+02
2021	283	21	3.3005e+02
2021	283	22	3.2799e+02
2021	283	23	3.1892e+02
2021	284	0	3.3243e+02
2021	284	1	3.3012e+02
2021	284	2	3.3443e+02
2021	284	3	3.5083e+02
2021	284	4	3.6789e+02
2021	284	5	3.9421e+02
2021	284	6	3.8679e+02
2021	284	7	3.7298e+02
2021	284	8	3.7974e+02
2021	284	9	3.8858e+02
2021	284	10	3.8868e+02
2021	284	11	3.8050e+02
2021	284	12	3.8836e+02
2021	284	13	3.9277e+02
2021	284	14	3.7810e+02
2021	284	15	3.7204e+02
2021	284	16	3.7294e+02
2021	284	17	3.7588e+02
2021	284	18	3.6350e+02
2021	284	19	3.6965e+02
2021	284	20	3.6881e+02
2021	284	21	3.6368e+02
2021	284	22	3.5914e+02
2021	284	23	3.5991e+02
2021	285	0	3.6170e+02
2021	285	1	3.6243e+02
2021	285	2	4.6432e+02
2021	285	3	4.4177e+02
2021	285	4	4.5057e+02
2021	285	5	4.5101e+02
2021	285	6	4.4976e+02
2021	285	7	3.9044e+02
2021	285	8	4.5227e+02
2021	285	9	4.4906e+02
2021	285	10	4.4240e+02
2021	285	11	4.5073e+02
2021	285	12	4.4076e+02
2021	285	13	4.5065e+02
2021	285	14	4.5969e+02
2021	285	15	4.8410e+02
2021	285	16	4.6549e+02
2021	285	17	4.3867e+02
2021	285	18	4.5259e+02
2021	285	19	4.5112e+02
2021	285	20	4.4060e+02
2021	285	21	4.3148e+02
2021	285	22	4.4199e+02
2021	285	23	4.4407e+02
2021	286	0	4.4160e+02
2021	286	1	4.3507e+02
2021	286	2	4.4276e+02
2021	286	3	4.3800e+02
2021	286	4	4.3726e+02
2021	286	5	4.3099e+02
2021	286	6	4.2469e+02
2021	286	7	4.3060e+02
2021	286	8	4.1744e+02
2021	286	9	4.1763e+02
2021	286	10	4.0883e+02
2021	286	11	4.0731e+02
2021	286	12	4.0969e+02
2021	286	13	4.0454e+02
2021	286	14	4.0020e+02
2021	286	15	3.9167e+02
2021	286	16	3.9821e+02
2021	286	17	3.9451e+02
2021	286	18	3.9667e+02
2021	286	19	3.9066e+02
2021	286	20	3.9272e+02
2021	286	21	3.8551e+02
2021	286	22	3.7628e+02
2021	286	23	3.8796e+02
2021	287	1	3.8917e+02
2021	287	2	3.8561e+02
2021	287	3	3.8401e+02
2021	287	4	3.8722e+02
2021	287	5	3.9210e+02
2021	287	6	3.8468e+02
2021	287	7	3.8614e+02
2021	287	8	3.8484e+02
2021	287	9	3.7402e+02
2021	287	10	3.6605e+02
2021	287	11	3.7141e+02
2021	287	12	3.6371e+02
2021	287	13	3.6762e+02
2021	287	14	3.6666e+02
2021	287	15	3.6906e+02
2021	287	16	3.6541e+02
2021	287	17	3.6725e+02
2021	287	18	3.7094e+02
2021	287	19	3.7318e+02
2021	287	20	3.7249e+02
2021	287	21	3.7638e+02
2021	287	22	3.7604e+02
2021	287	23	3.5999e+02
2021	288	0	3.7411e+02
2021	288	1	3.7294e+02
2021	288	2	3.7491e+02
2021	288	3	3.8095e+02
2021	288	4	3.7534e+02
2021	288	5	3.7211e+02
2021	288	6	3.7945e+02
2021	288	7	3.7515e+02
2021	288	8	3.6748e+02
2021	288	9	3.6191e+02
2021	288	10	3.5079e+02
2021	288	11	3.4645e+02
2021	288	12	3.4091e+02
2021	288	13	3.3843e+02
2021	288	14	3.3949e+02
2021	288	15	3.3823e+02
2021	288	16	3.4016e+02
2021	288	17	3.4383e+02
2021	288	18	3.4253e+02
2021	288	19	3.4308e+02
2021	288	20	3.5259e+02
2021	288	21	3.3251e+02
2021	288	22	3.6514e+02
2021	288	23	3.1077e+02
2021	289	0	3.4253e+02
2021	289	1	3.6833e+02
2021	289	2	3.7445e+02
2021	289	3	3.6564e+02
2021	289	4	3.5754e+02
2021	289	5	3.8143e+02
2021	289	6	3.9131e+02
2021	289	7	3.8179e+02
2021	289	8	4.0096e+02
2021	289	9	3.9971e+02
2021	289	10	3.9150e+02
2021	289	11	3.8908e+02
2021	289	12	3.9190e+02
2021	289	13	3.8046e+02
2021	289	14	3.8249e+02
