ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
687452074.1823612	10405.00000	-2892.886093	18008.41600	20901.30209
687452074.4323612	10405.25000	-2892.150709	18009.11980	20901.27051
687452074.6823612	10405.50000	-2889.811024	18011.42790	20901.23892
687452074.9323612	10405.75000	-2890.442937	18010.76440	20901.20734
687452075.1823612	10406.00000	-2890.537751	18010.63800	20901.17575
687452075.4323612	10406.25000	-2890.026763	18011.11740	20901.14416
687452075.6823612	10406.50000	-2889.648974	18011.46360	20901.11257
687452075.9323612	10406.75000	-2890.071484	18011.00950	20901.08098
687452076.1823612	10407.00000	-2890.650193	18010.39920	20901.04939
687452076.4323612	10407.25000	-2890.958802	18010.05900	20901.01780
687452076.6823612	10407.50000	-2890.686209	18010.30000	20900.98621
687452076.9323612	10407.75000	-2888.748017	18012.20660	20900.95462
687452077.1823612	10408.00000	-2889.398422	18011.52460	20900.92302
687452077.4323612	10408.25000	-2888.612427	18012.27900	20900.89143
687452077.6823612	10408.50000	-2889.513731	18011.34610	20900.85983
687452077.9323612	10408.75000	-2888.798334	18012.02990	20900.82823
687452078.1823612	10409.00000	-2888.533137	18012.26350	20900.79664
687452078.4323612	10409.25000	-2888.934239	18011.83080	20900.76504
687452078.6823612	10409.50000	-2888.093139	18012.64030	20900.73344
687452078.9323612	10409.75000	-2888.362439	18012.33940	20900.70184
687452079.1823612	10410.00000	-2887.563738	18013.10650	20900.67024
687452079.4323612	10410.25000	-2887.360537	18013.27810	20900.63864
687452079.6823612	10410.50000	-2889.656834	18010.95020	20900.60703
687452079.9323612	10410.75000	-2887.418130	18013.15730	20900.57543
687452080.1823612	10411.00000	-2888.057425	18012.48640	20900.54383
687452080.4323612	10411.25000	-2888.022319	18012.48990	20900.51222
687452080.6823612	10411.50000	-2887.604314	18012.87630	20900.48061
687452080.9323612	10411.75000	-2887.053107	18013.39590	20900.44901
687452081.1823612	10412.00000	-2887.920798	18012.49660	20900.41740
687452081.4323612	10412.25000	-2886.275090	18014.11070	20900.38579
687452081.6823612	10412.50000	-2887.094280	18013.25990	20900.35418
687452081.9323612	10412.75000	350.837131	21251.15970	20900.32257
687452082.1823612	10413.00000	-2883.003457	18017.28750	20900.29096
687452082.4323612	10413.25000	-2885.668346	18014.59100	20900.25935
687452082.6823612	10413.50000	-2893.517832	18006.70990	20900.22773
687452082.9323612	10413.75000	-2883.190118	18017.00600	20900.19612
687452083.1823612	10414.00000	-2884.908303	18015.25620	20900.16450
687452083.4323612	10414.25000	-2883.407487	18016.72540	20900.13289
687452083.6823612	10414.50000	-2882.664271	18017.43700	20900.10127
687452083.9323612	10414.75000	-2885.075853	18014.99380	20900.06965
687452084.1823612	10415.00000	-2884.129234	18015.90880	20900.03803
687452084.4323612	10415.25000	-2884.719715	18015.28670	20900.00641
687452084.6823612	10415.50000	-2881.033295	18018.94150	20899.97479
687452084.9323612	10415.75000	-2883.996873	18015.94630	20899.94317
