ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
686588086.4323435	10417.25000	-2893.189411	11391.84110	14285.03051
686588086.6823435	10417.50000	-2895.035085	11389.95630	14284.99139
686588086.9323435	10417.75000	-2896.039859	11388.91240	14284.95226
686588087.1823435	10418.00000	-2894.321831	11390.59130	14284.91313
686588087.4323435	10418.25000	-2891.837902	11393.03610	14284.87400
686588087.6823435	10418.50000	-2893.740773	11391.09410	14284.83487
686588087.9323435	10418.75000	-2892.491442	11392.30430	14284.79574
686588088.1823435	10419.00000	-2892.860511	11391.89610	14284.75661
686588088.4323435	10419.25000	-2892.173279	11392.54420	14284.71748
686588088.6823435	10419.50000	-2891.472545	11393.20580	14284.67834
686588088.9323435	10419.75000	-2891.265110	11393.37410	14284.63921
686588089.1823435	10420.00000	-2891.598875	11393.00120	14284.60008
686588089.4323435	10420.25000	-2891.961439	11392.59950	14284.56094
686588089.6823435	10420.50000	-2892.739302	11391.78250	14284.52180
686588089.9323435	10420.75000	-2891.383564	11393.09910	14284.48266
686588090.1823435	10421.00000	-2891.317726	11393.12580	14284.44353
686588090.4323435	10421.25000	-2890.336586	11394.06780	14284.40439
686588090.6823435	10421.50000	-2890.802945	11393.56230	14284.36524
686588090.9323435	10421.75000	-2890.495904	11393.83020	14284.32610
686588091.1823435	10422.00000	-2890.856661	11393.43030	14284.28696
686588091.4323435	10422.25000	-2889.810917	11394.43690	14284.24782
686588091.6823435	10422.50000	-2889.056973	11395.15170	14284.20867
686588091.9323435	10422.75000	-2886.632227	11397.53730	14284.16953
686588092.1823435	10423.00000	-2888.995581	11395.13480	14284.13038
686588092.4323435	10423.25000	-2889.524434	11394.56680	14284.09123
686588092.6823435	10423.50000	-2889.330585	11394.72150	14284.05209
686588092.9323435	10423.75000	-2888.020337	11395.99260	14284.01294
686588093.1823435	10424.00000	-2889.316687	11394.65710	14283.97379
686588093.4323435	10424.25000	-2887.822637	11396.11200	14283.93464
686588093.6823435	10424.50000	-2888.054784	11395.84070	14283.89548
686588093.9323435	10424.75000	-2886.246632	11397.60970	14283.85633
686588094.1823435	10425.00000	-2888.698278	11395.11890	14283.81718
686588094.4323435	10425.25000	-2889.648423	11394.12960	14283.77802
686588094.6823435	10425.50000	-2887.768968	11395.96990	14283.73887
686588094.9323435	10425.75000	-2888.415611	11395.28410	14283.69971
686588095.1823435	10426.00000	-2887.157354	11396.50320	14283.66055
686588095.4323435	10426.25000	-2888.317296	11395.30410	14283.62140
686588095.6823435	10426.50000	-2887.463836	11396.11840	14283.58224
686588095.9323435	10426.75000	-2887.184177	11396.35890	14283.54308
686588096.1823435	10427.00000	-2888.358016	11395.14590	14283.50392
686588096.4323435	10427.25000	-2885.220154	11398.24460	14283.46475
686588096.6823435	10427.50000	-2887.921791	11395.50380	14283.42559
686588096.9323435	10427.75000	-2887.011027	11396.37540	14283.38643
686588097.1823435	10428.00000	-2886.194262	11397.15300	14283.34726
686588097.4323435	10428.25000	-2884.465996	11398.84210	14283.30810
686588097.6823435	10428.50000	4312.161070	18595.43000	14283.26893
686588097.9323435	10428.75000	-2886.376163	11396.85360	14283.22976
686588098.1823435	10429.00000	-2884.386394	11398.80420	14283.19059
686588098.4323435	10429.25000	-2886.336624	11396.81480	14283.15142
